ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
c4ef9965-c01d-443f-a7ce-5258f3be83bd,c1.medium,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,682.0,0.0,USD,0.05,Hourly
c68ad5cb-fa6d-4f57-a7ed-dd9a905f65dc,c1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,682.0,0.0,USD,0.11,Hourly
ddb0a64e-4ea5-489b-b14c-8941020530e0,c1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,750.0,0.0,USD,0.055,Hourly
fbcd0a0e-705c-40d6-b165-0702584aadaa,c1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,750.0,0.0,USD,0.121,Hourly
e1510b13-1b75-46a7-88bc-19b9583ab05b,c1.medium,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,1034.0,0.0,USD,0.061,Hourly
0462f0b6-532d-4a39-bca5-2529cb73d358,c1.medium,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,1137.0,0.0,USD,0.067,Hourly
b91eaa72-1e70-4f7e-8a97-a7501c2a1277,c1.medium,Linux/UNIX,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,1876.0,0.0,USD,0.0,Hourly
5dd1b49b-b646-4778-8eb8-235e330a14fa,c1.medium,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,2063.0,0.0,USD,0.0,Hourly
c224353a-9383-4020-9519-542961e7a829,c1.medium,SUSE Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,2478.0,0.0,USD,0.0,Hourly
56c4c051-1667-4cff-94a8-ddfadc24ba7e,c1.medium,SUSE Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,2725.0,0.0,USD,0.0,Hourly
b33ad041-60be-45fc-87d1-d243ba7b7da0,c1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,3358.0,0.0,USD,0.0,Hourly
be961cc7-b46a-4f6e-a70f-c4dad1169cc3,c1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,3693.0,0.0,USD,0.0,Hourly
0b61be7d-45d9-4573-b86b-eca492b7ba45,c1.medium,SUSE Linux,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.171,Hourly
13d57ed9-cc69-402c-bc9e-9b143ba5a50e,c1.medium,SUSE Linux,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
3be31b37-7f1d-47ba-8d4e-ec58325dd42c,c1.medium,Linux/UNIX,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.12,Hourly
6d8988a1-cf07-4acf-a4c4-d3854089d10b,c1.medium,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.198,Hourly
74c620b9-7276-41de-8ced-ea00943bc076,c1.medium,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.18,Hourly
8b761796-5d1c-4588-920c-9ce922627432,c1.medium,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.132,Hourly
17adf83a-68e1-4709-808a-11eb9a47556b,c1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,443.0,0.0,USD,0.118,Hourly
f379e7bc-6450-47d6-a25f-3420ab42543b,c1.medium,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,443.0,0.0,USD,0.058,Hourly
00183eb7-870d-47b5-9f17-e8f322d3b175,c1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,487.0,0.0,USD,0.064,Hourly
0fae2cdd-b491-4adb-9d2a-ab8ce3eab11e,c1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,487.0,0.0,USD,0.13,Hourly
9f9b9aad-cc6c-4846-ba60-37bcebb996ef,c1.medium,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,619.0,0.0,USD,0.069,Hourly
092cb3dc-7f16-447a-a7be-267ab79a6ebd,c1.medium,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,681.0,0.0,USD,0.076,Hourly
45fd2ff3-edf7-4332-9b9d-61de0683fac8,c1.medium,Linux/UNIX,default,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,932.0,0.0,USD,0.0,Hourly
47845a81-40a2-4290-8041-df6058c581e3,c1.medium,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,1025.0,0.0,USD,0.0,Hourly
0229bf2d-e2dc-4102-b002-65b8674d5a81,c1.medium,SUSE Linux,default,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,1198.0,0.0,USD,0.0,Hourly
af7c8a97-0baa-4657-9705-d18df0511c44,c1.medium,SUSE Linux,dedicated,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,1317.0,0.0,USD,0.0,Hourly
