ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
50e9d066-69c0-467d-baab-c9d2298098b6,c1.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,2726.0,0.0,USD,0.332,Hourly
d8240aaf-cee1-43f1-9cdf-0dc1ab9f6ac5,c1.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,2726.0,0.0,USD,0.202,Hourly
2e90ad63-0af8-4e41-a4f1-58e9855820a4,c1.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,2999.0,0.0,USD,0.365,Hourly
81c5b29f-5a29-45c0-af08-950c9fab1e8a,c1.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,2999.0,0.0,USD,0.222,Hourly
ef366341-5c35-4474-9f08-3890a5cf3ebf,c1.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,3078.0,0.0,USD,0.213,Hourly
83a6dd8e-d394-4171-b66d-b8439f10f480,c1.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,3386.0,0.0,USD,0.234,Hourly
06415262-6826-48a2-9225-e28a3d3c73f1,c1.xlarge,Linux/UNIX,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,7552.0,0.0,USD,0.0,Hourly
a66320bd-90c4-4354-ae9e-9ce9f0e54ba5,c1.xlarge,SUSE Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,8155.0,0.0,USD,0.0,Hourly
e9208781-34dd-443a-9d9d-4e636927c9e5,c1.xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,8307.0,0.0,USD,0.0,Hourly
da917883-8623-4245-9ddc-095546763fc0,c1.xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,8970.0,0.0,USD,0.0,Hourly
