ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1663f883-18ee-480c-9049-d5b81f79749f,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,8987.0,0.0,USD,0.746,Hourly
40f89abb-1375-41d3-b83e-43c58f4c96a9,cc2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,8987.0,0.0,USD,0.616,Hourly
8fb34d5d-163b-4933-b966-2c79366f6c53,cc2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,8987.0,0.0,USD,0.616,Hourly
c7eea391-001f-4bc7-8c49-72d783d34ace,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,8987.0,0.0,USD,0.746,Hourly
17152b02-eef6-4af3-b1da-afbcf6f84790,cc2.8xlarge,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,9339.0,0.0,USD,0.627,Hourly
4e3c3de1-4516-4229-8dc9-d64100bf6de8,cc2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,9339.0,0.0,USD,0.627,Hourly
631503ec-0ef9-4305-9f59-ba7de3df1721,cc2.8xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,23664.0,0.0,USD,0.0,Hourly
cc78e9ea-3f4d-44bc-b1e8-d2aab26afdbb,cc2.8xlarge,Linux/UNIX,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,23664.0,0.0,USD,0.0,Hourly
5d81f3bc-4a0b-4afd-95eb-233e6a42731f,cc2.8xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,24267.0,0.0,USD,0.0,Hourly
d8655699-8647-448a-80a0-5b308b3efa48,cc2.8xlarge,SUSE Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,24267.0,0.0,USD,0.0,Hourly
6b625f32-2de5-44d8-83bd-8da94e243385,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,26876.0,0.0,USD,0.0,Hourly
a9c1c09e-6110-4a1f-9638-3a5596e3b53a,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,26876.0,0.0,USD,0.0,Hourly
09c6bd1a-f498-404c-bfba-0495bd8464f1,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.642,Hourly
30443f11-2b8c-4f9f-9567-ee813f206ca3,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.642,Hourly
a46d7e8d-462d-4782-ab32-50e992b985bb,cc2.8xlarge,SUSE Linux,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.548,Hourly
a598276d-7208-4286-aafd-bec9e399a600,cc2.8xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.512,Hourly
d9a8bf48-b4fa-4227-9e2f-042e4f48bec8,cc2.8xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.512,Hourly
df1c17a1-64a1-4b48-b013-6087bd6c2599,cc2.8xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.548,Hourly
07e7fbe4-c037-401a-b0da-494902b98409,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,5963.0,0.0,USD,0.742,Hourly
22e92f01-968f-4c4b-9864-d710085d5136,cc2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,5963.0,0.0,USD,0.612,Hourly
40224614-7ee3-417d-be97-aa746b1601f1,cc2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,5963.0,0.0,USD,0.612,Hourly
6967d7a5-4bb6-48de-a7ae-d33dddd050c3,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,5963.0,0.0,USD,0.742,Hourly
9ce85d0d-fcd6-4d18-b122-14e71e524d82,cc2.8xlarge,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,6139.0,0.0,USD,0.623,Hourly
a0920e48-4929-402c-8009-a963fa674a5a,cc2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,6139.0,0.0,USD,0.623,Hourly
67fe5713-2478-4a46-907e-f471e1315eb8,cc2.8xlarge,Linux/UNIX,default,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,11097.0,0.0,USD,0.0,Hourly
