ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1e03b4cb-09f5-42c8-9e9f-1f1e8745fdf7,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.59,Hourly
527212bc-98a3-4136-ab82-05938ae98c45,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.524,Hourly
69fa5aad-4c7b-4b5e-a3be-53a620fe5e41,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.939,Hourly
a3c9a5d6-104c-49ac-bbc0-a7acb8afffdb,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.983,Hourly
af617e93-74fc-4d22-a3af-28f87a648c1b,d2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.536,Hourly
df610885-a961-449e-b8ae-bdcd186ab8ef,d2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.513,Hourly
f2585c78-86bb-41b6-a46e-2f2b8d04f50d,d2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.476,Hourly
f990a717-4f17-409f-ae4f-c97d195d2285,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.565,Hourly
549d6daf-9ca8-4592-8917-acdd48cd817f,d2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,4230.0,0.0,USD,0.221,Hourly
5de30a5f-9f42-462c-91f2-69382cbfc32e,d2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,4230.0,0.0,USD,0.161,Hourly
a9218025-a90d-4f40-8c3c-17ce7983cd43,d2.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,4582.0,0.0,USD,0.174,Hourly
009242be-1fde-4cea-99cf-43083bdf8bde,d2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,4653.0,0.0,USD,0.177,Hourly
907d2f6e-5a21-4649-8c0b-d45574b1284c,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,4653.0,0.0,USD,0.243,Hourly
8ef88dc3-363b-411a-83db-01b7662fe56d,d2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,5040.0,0.0,USD,0.191,Hourly
0fda41b0-2808-4cd4-9e86-82eb7e4cc4f2,d2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,5343.0,0.0,USD,0.203,Hourly
7f55dc05-e1da-4542-a2f4-d93650648b3f,d2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,5343.0,0.0,USD,0.263,Hourly
e7c2f83a-e7af-4361-b5ea-9e3ffd80ab4c,d2.xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,5695.0,0.0,USD,0.216,Hourly
8c35d676-650e-4833-9291-d3fad865f60f,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,5878.0,0.0,USD,0.29,Hourly
a3f1d879-60c3-47f1-983f-090a5e164050,d2.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,5878.0,0.0,USD,0.224,Hourly
8863d168-8635-413a-978d-12bfe72df6d1,d2.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,6265.0,0.0,USD,0.238,Hourly
1bf25b65-9f09-430d-9d59-ac53532b9a8c,d2.xlarge,Linux/UNIX,default,standard,All Upfront,ap-northeast-1d,94608000,Availability Zone,0,7953.0,0.0,USD,0.0,Hourly
3af9e1f2-09cf-42b6-bad3-97e00efcf244,d2.xlarge,SUSE Linux,default,standard,All Upfront,ap-northeast-1d,94608000,Availability Zone,0,8605.0,0.0,USD,0.0,Hourly
b66e1b2f-fde3-4b95-b586-decdd5825568,d2.xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1d,94608000,Availability Zone,0,8748.0,0.0,USD,0.0,Hourly
5beb67cb-c5e5-46ba-8e61-1f85335b5af9,d2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-northeast-1d,94608000,Availability Zone,0,9436.0,0.0,USD,0.0,Hourly
4f335a30-a678-433d-9459-d180602a9c03,d2.xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-northeast-1d,94608000,Availability Zone,0,9466.0,0.0,USD,0.0,Hourly
1fd27c5b-9a3a-49bf-a66f-40d86309f078,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-northeast-1d,94608000,Availability Zone,0,10380.0,0.0,USD,0.0,Hourly
052e385f-4c84-45c8-a45c-494bc409c5ad,d2.xlarge,Linux/UNIX,default,convertible,All Upfront,ap-northeast-1d,94608000,Availability Zone,0,10476.0,0.0,USD,0.0,Hourly
a9afc5a1-4273-4b25-aa0f-10a5fdafa938,d2.xlarge,SUSE Linux,default,convertible,All Upfront,ap-northeast-1d,94608000,Availability Zone,0,11128.0,0.0,USD,0.0,Hourly
