ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
02024f54-ff5e-42fb-a75d-ca7823405cb6,g2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.571,Hourly
44811570-938b-415d-9859-a1bf2e227637,g2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,14.328,Hourly
4ce79ff3-f113-45da-9a61-819ee79aeeed,g2.8xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.441,Hourly
50c44baf-ee94-412d-9f43-b37578ec13d8,g2.8xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.441,Hourly
8805eeb0-238a-418d-ad59-b7f51199c3c7,g2.8xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.478,Hourly
c1f91c65-8d20-4076-9302-7d8d605fd974,g2.8xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.571,Hourly
db2b2cb3-09d2-4b8e-ab46-4a5f170bcecf,g2.8xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.478,Hourly
f2341d18-eb10-4875-b896-8dc8b6f7ae9b,g2.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,14.328,Hourly
16af0d62-043d-464c-b7a9-77881663568f,g2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,36785.0,0.0,USD,0.886,Hourly
26e31dec-122d-433f-8af6-1d3bb7bfb24e,g2.8xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,36785.0,0.0,USD,0.756,Hourly
