ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1260f0af-ec9f-4a66-a8a7-6f659976a856,i3.4xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,6.815,Hourly
1f034d20-7729-4dcf-86ad-34856b6d4184,i3.4xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.085,Hourly
2889515b-1ddc-4606-b430-21410fe88db6,i3.4xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.929,Hourly
51439b28-5574-4939-857b-f150629fbbd9,i3.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.026,Hourly
5170a405-9788-4d82-88db-ab34d4b02343,i3.4xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.167,Hourly
58fa855a-f9fd-4ab1-8751-605ec0cf57e3,i3.4xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.815,Hourly
5927c54e-ac3f-4971-a132-4c2c73008e69,i3.4xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.945,Hourly
6950bc3f-2236-4b63-ae11-4782b907dd99,i3.4xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,6.896,Hourly
793d80de-1b43-4c19-8756-6d3a9de7f95f,i3.4xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.848,Hourly
94a52573-16a2-4a3a-80f2-86018965e353,i3.4xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.735,Hourly
