ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0c4a1fe4-21cb-4b47-bc66-15847ea45086,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.292,Hourly
1847fc15-3a33-4b57-9f1a-bdbe422cde96,i3.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.271,Hourly
1d66f328-a3b3-40ab-843d-c7662e03157b,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.704,Hourly
1fa0ba48-e2da-4609-8c61-f68ec7723c78,i3.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.257,Hourly
304b8dc4-1c53-4396-b7c6-682c7dc298d1,i3.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.684,Hourly
3f05ef1b-9605-4069-b522-28a664e856f9,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.704,Hourly
5388ee78-da8f-4576-91a8-ef3cf2d0d591,i3.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.264,Hourly
9129b722-4825-4fd2-9142-23cdb0b3e337,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.284,Hourly
ac153ac2-ae15-4c22-94ad-1620fda18150,i3.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.224,Hourly
b0e4125e-ebd8-4fd8-a5a4-a2c3d6782137,i3.xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.237,Hourly
ba4acd6e-0236-4915-b313-ac155affc7bb,i3.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.204,Hourly
fe6eea0d-7bed-4c57-953a-772d1e63adbc,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.724,Hourly
12ed36a6-6054-4439-9e61-48c907be7f8d,i3.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.195,Hourly
39822179-6b9c-4af0-b01d-4cb702a9ecd0,i3.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.262,Hourly
3ce18601-fb5d-41b2-9740-8633c636a8cb,i3.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.677,Hourly
551eccf2-5958-4b04-b175-4b2027d1a2dd,i3.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.657,Hourly
82b87d65-17df-4e3d-9644-8ae07bbf7a20,i3.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.695,Hourly
9362f6d3-b79d-4eaa-8b7a-e8f298043b31,i3.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.255,Hourly
babe60c1-db80-4779-b54f-ff2e76c9d87d,i3.xlarge,SUSE Linux,default,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.21,Hourly
c26d1810-0f1d-4175-be3c-5b32832de6bd,i3.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.245,Hourly
d02b8ffe-6805-478b-b005-52ef95852886,i3.xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.228,Hourly
e8826e95-6e92-442b-adf6-d554f8362f26,i3.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.237,Hourly
e9fbeaac-f082-4a49-bc64-7ec113917a4c,i3.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.675,Hourly
f2356354-03f8-4469-b9fa-9aee876bd0e9,i3.xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.177,Hourly
56e123a2-dbb4-498d-ac1f-db90153e6d95,i3.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,2164.0,0.0,USD,0.082,Hourly
8b638e4c-bac2-4184-8f12-ed7f8891219d,i3.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,2164.0,0.0,USD,0.142,Hourly
4f2a70f5-134a-48e3-8228-9e2545c9ab89,i3.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,2381.0,0.0,USD,0.151,Hourly
6a374189-4423-4ee0-afd3-d4e76b3cc0f7,i3.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,2381.0,0.0,USD,0.091,Hourly
02497a73-e021-4e64-889c-139dabad70bc,i3.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,2478.0,0.0,USD,0.154,Hourly
2080a324-270f-43a4-b98c-c3abd6805253,i3.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,2478.0,0.0,USD,0.094,Hourly
bd42bde9-e2c0-44d5-8716-b0f25978764b,i3.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,2516.0,0.0,USD,0.095,Hourly
079ef4b8-ffee-42a8-baa1-dcfb88acbad6,i3.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,2726.0,0.0,USD,0.104,Hourly
