ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
49b13ded-07bc-43fa-ae29-5fa5f78e5562,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.834,Hourly
9be3365a-a190-4938-bad0-c0b4e4277e95,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.834,Hourly
b4c7438e-c64b-47b4-b615-763fb30f04dd,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,34480.0,0.0,USD,1.312,Hourly
fe1a35db-12c2-4e47-bc4a-09a375ed46e4,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,34480.0,0.0,USD,1.312,Hourly
a05c91fb-69f1-44a9-9b3e-129f4c95dbe4,i3p.16xlarge,Linux/UNIX,default,standard,All Upfront,ap-northeast-1d,94608000,Availability Zone,0,64822.0,0.0,USD,0.0,Hourly
f9670a28-17f8-4675-a083-375c48f3f1fd,i3p.16xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1d,94608000,Availability Zone,0,64822.0,0.0,USD,0.0,Hourly
c2a6c82a-6fac-4e1e-b86b-4ba72d2e77b7,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-1d,31536000,Availability Zone,0,0.0,0.0,USD,3.965,Hourly
d4c4cde1-aeff-4cf7-a9c4-c30a105be5d8,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-1d,31536000,Availability Zone,0,0.0,0.0,USD,3.965,Hourly
160918a9-296b-47d6-abaf-094b28ddcc5b,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1d,31536000,Availability Zone,0,16539.0,0.0,USD,1.888,Hourly
b801472f-7c75-43a5-a1bd-0b15e21d46cc,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1d,31536000,Availability Zone,0,16539.0,0.0,USD,1.888,Hourly
0d8d4982-eb6a-494c-8eae-ef1914e97425,i3p.16xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1d,31536000,Availability Zone,0,32416.0,0.0,USD,0.0,Hourly
f1ecb22a-2e5a-4531-a277-6bd47d2b9dfe,i3p.16xlarge,Linux/UNIX,default,standard,All Upfront,ap-northeast-1d,31536000,Availability Zone,0,32416.0,0.0,USD,0.0,Hourly
7b99cf63-f65a-459b-9b60-3e8de829a4ad,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.834,Hourly
a3a93123-2307-42ff-a82a-9ed95c631ff7,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.834,Hourly
817cca18-e93f-4141-9574-996408de2566,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,34480.0,0.0,USD,1.312,Hourly
c9cad89f-5a14-4419-9cb3-5bfc051b29c2,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,34480.0,0.0,USD,1.312,Hourly
82261ee4-6897-4c01-8fb9-159c410a2318,i3p.16xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,64822.0,0.0,USD,0.0,Hourly
e0a2e15a-9c41-4b9c-8f1f-50bd06c2ec71,i3p.16xlarge,Linux/UNIX,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,64822.0,0.0,USD,0.0,Hourly
88eb9df0-b65f-4f08-8b0d-6b61e6f8f9b5,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,3.965,Hourly
b28fcb60-d78b-44e5-a59b-762573f8f496,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,3.965,Hourly
