ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
3fd50549-43fd-4889-aa57-f9e11d81b85d,m1.medium,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,413.0,0.0,USD,0.028,Hourly
d636b457-3b4d-4825-86cc-05df1c5be1a7,m1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,413.0,0.0,USD,0.088,Hourly
15c3c4ae-59ae-4d7c-8ba2-5ca24a73172d,m1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,454.0,0.0,USD,0.097,Hourly
16fb9954-d298-4214-b243-6d0474d39adc,m1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,454.0,0.0,USD,0.031,Hourly
20268a90-cd22-4869-b8e0-4d6674a37154,m1.medium,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,765.0,0.0,USD,0.039,Hourly
c4a46ecb-63c2-483c-b172-619a1c8045c1,m1.medium,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,842.0,0.0,USD,0.043,Hourly
e3c2b253-67c6-4c26-9cbc-14c46ead1216,m1.medium,Linux/UNIX,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,1079.0,0.0,USD,0.0,Hourly
02679303-a315-4be9-883a-6fdf1a8ae57d,m1.medium,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,1186.0,0.0,USD,0.0,Hourly
a1a3219e-3b03-4fab-80d5-8e619595cfa7,m1.medium,SUSE Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,1682.0,0.0,USD,0.0,Hourly
f01df29e-14ee-44bc-8b21-67b3cf6c9c4b,m1.medium,SUSE Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,1850.0,0.0,USD,0.0,Hourly
820cee0c-b436-43c7-bccc-20be0dae2cab,m1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,2562.0,0.0,USD,0.0,Hourly
