ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
5f38de31-3b16-4405-8705-217983550f65,m1.small,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,207.0,0.0,USD,0.014,Hourly
df8e2757-f05b-4b02-bbce-849256add5f4,m1.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,207.0,0.0,USD,0.074,Hourly
30cb822b-d53d-4a68-8e95-f82dd422f5fb,m1.small,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,228.0,0.0,USD,0.081,Hourly
3c6c950a-b804-41ce-bdfc-307a2708d6de,m1.small,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,228.0,0.0,USD,0.015,Hourly
ef88cfda-0182-45fb-aaf3-97a50cf10323,m1.small,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,383.0,0.0,USD,0.025,Hourly
86ce8528-11b9-4775-8f11-215f16bae0c2,m1.small,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,421.0,0.0,USD,0.028,Hourly
51637a38-3ee0-45ff-af54-64cb46a4e2a8,m1.small,Linux/UNIX,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,540.0,0.0,USD,0.0,Hourly
d6e2c4c7-4070-4316-9fad-480a64e7a04a,m1.small,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,594.0,0.0,USD,0.0,Hourly
ccce5953-9b2f-4a1c-886a-dc82fc653223,m1.small,SUSE Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,977.0,0.0,USD,0.0,Hourly
0b75c4a1-a9e8-4cba-a5cc-1e1271c0c078,m1.small,SUSE Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,1074.0,0.0,USD,0.0,Hourly
0d7cc9a4-6448-45ef-b757-f2d643726a82,m1.small,Red Hat Enterprise Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,2022.0,0.0,USD,0.0,Hourly
0e7c4bf8-9bf7-4fb4-80de-dc7f6227f9e3,m1.small,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,2224.0,0.0,USD,0.0,Hourly
342c973a-acd3-4ee7-85bd-c50018441d15,m1.small,SUSE Linux,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.061,Hourly
8e130219-801c-47cc-93b0-948b6a490e35,m1.small,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.106,Hourly
8fbeef9e-3f5b-46b3-acd4-5bdba0129500,m1.small,SUSE Linux,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.067,Hourly
b0346b62-6721-4466-bc20-da823ad158a1,m1.small,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.097,Hourly
c0c4f064-feaa-46ba-897c-598c63ad98df,m1.small,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.04,Hourly
ff579e3f-e8ba-4281-854b-61d595f637a0,m1.small,Linux/UNIX,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.037,Hourly
bf753be3-6319-4460-8e61-68ec594d7d8c,m1.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,135.0,0.0,USD,0.077,Hourly
c04c580a-25a2-4f12-b8ab-90fccf5e5323,m1.small,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,135.0,0.0,USD,0.017,Hourly
449573bd-73bc-40b6-ada0-12c1ba956d2d,m1.small,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,149.0,0.0,USD,0.085,Hourly
8c593a2f-8d4d-4053-94bd-525d2830307d,m1.small,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,149.0,0.0,USD,0.019,Hourly
fd14d775-6238-4e53-9f67-77724ee3f2b8,m1.small,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,223.0,0.0,USD,0.028,Hourly
02549cf1-23f9-4b85-86d7-00e5c60d00e5,m1.small,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,245.0,0.0,USD,0.031,Hourly
e12090fe-7db9-4171-9b09-19ac79e2fd10,m1.small,Linux/UNIX,default,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,278.0,0.0,USD,0.0,Hourly
4e0114c5-f08e-4be2-9ddb-12fe0dd94ff6,m1.small,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,305.0,0.0,USD,0.0,Hourly
cc1ad966-0fb1-460c-bf87-bab77f79debc,m1.small,SUSE Linux,default,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,458.0,0.0,USD,0.0,Hourly
d4003e85-9e6d-4949-b69e-8b0216974bd2,m1.small,SUSE Linux,dedicated,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,503.0,0.0,USD,0.0,Hourly
4497ba27-dcd7-4c7e-8a17-2a67661b1fc4,m1.small,Red Hat Enterprise Linux,default,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,793.0,0.0,USD,0.0,Hourly
25071850-3c87-4388-b9f4-e1a99b6f4c85,m1.small,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,872.0,0.0,USD,0.0,Hourly
50a3d274-a038-4453-bfab-6c8922db7af9,m1.small,Windows,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,257.0,0.0,USD,0.036,Hourly
61c129e5-0c87-4fe1-baef-74d44e95a9ef,m1.small,Windows,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,283.0,0.0,USD,0.04,Hourly
63a2a129-d4f8-4558-a968-72f785cd7895,m1.small,Windows with SQL Server Web,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,810.0,0.0,USD,0.047,Hourly
0d852632-7b40-41eb-82cb-523ff95da84d,m1.small,Windows with SQL Server Web,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,890.0,0.0,USD,0.051,Hourly
1ec37cec-b00b-44bf-83c0-f08d28624083,m1.small,Windows,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,1131.0,0.0,USD,0.0,Hourly
90a59ecb-7918-41fd-9838-484251c4965f,m1.small,Windows,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,1244.0,0.0,USD,0.0,Hourly
f1eb6d5f-c3a1-4130-a0d5-0be9eb9c7b7e,m1.small,Windows with SQL Server Web,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,1922.0,0.0,USD,0.0,Hourly
5b9be43a-b025-4240-a2e5-db11802ae795,m1.small,Windows with SQL Server Web,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,2114.0,0.0,USD,0.0,Hourly
cd4baaf7-9e67-4640-be31-0a0986756d0d,m1.small,Windows with SQL Server Standard,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,4543.0,0.0,USD,0.259,Hourly
2e14a1e4-3714-4bb8-8709-2ab811975c52,m1.small,Windows with SQL Server Standard,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,4997.0,0.0,USD,0.285,Hourly
6e8e85f3-ef3d-4f2c-b5af-77854533460b,m1.small,Windows with SQL Server Standard,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,10669.0,0.0,USD,0.0,Hourly
e8a1f870-c96c-45ae-b256-33b308abc4dc,m1.small,Windows with SQL Server Standard,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,11735.0,0.0,USD,0.0,Hourly
261aa1ef-3eff-43f6-b7a8-32d7b69e9b4b,m1.small,Windows with SQL Server Standard,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.525,Hourly
64127006-c6b6-4089-8e92-e0f96ba88d8c,m1.small,Windows,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.066,Hourly
806c3801-e505-45b2-b763-d351a25e9e5c,m1.small,Windows with SQL Server Web,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.108,Hourly
8f55bcde-9d12-4506-babf-1da17bfd345d,m1.small,Windows with SQL Server Standard,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.577,Hourly
94481b3d-23f8-4567-ba9c-f0d5aed46a68,m1.small,Windows with SQL Server Web,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.118,Hourly
eec022b0-f7de-4bf0-bf58-207f6dd3b55a,m1.small,Windows,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.072,Hourly
a179867d-0125-456d-95c2-0d233535610c,m1.small,Windows,default,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,160.0,0.0,USD,0.038,Hourly
b5b55815-664a-41e1-a477-4b94921d43af,m1.small,Windows,dedicated,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,176.0,0.0,USD,0.042,Hourly
3272740a-8d52-4832-805f-1dd304ca024f,m1.small,Windows with SQL Server Web,default,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,324.0,0.0,USD,0.055,Hourly
dd8091f9-281f-4502-bf9b-afd55968283e,m1.small,Windows with SQL Server Web,dedicated,standard,Partial Upfront,ap-northeast-1a,31536000,Availability Zone,0,356.0,0.0,USD,0.061,Hourly
63f50147-36fe-4660-b6fd-658a4e3a34ed,m1.small,Windows,default,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,483.0,0.0,USD,0.0,Hourly
02327f7f-6329-44f1-a355-f9413894e760,m1.small,Windows,dedicated,standard,All Upfront,ap-northeast-1a,31536000,Availability Zone,0,531.0,0.0,USD,0.0,Hourly
