ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
7d59824f-66e2-48cd-a481-4475cdc1a36f,m1.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,1651.0,0.0,USD,0.172,Hourly
b5d1acfa-11c2-4dbf-9d5f-da00767e37fc,m1.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,1651.0,0.0,USD,0.112,Hourly
2029b63d-5fd1-4d19-89c6-61f1bb45446d,m1.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,1816.0,0.0,USD,0.189,Hourly
ebb52373-2ef1-4174-919c-56c7e02adf87,m1.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,1816.0,0.0,USD,0.123,Hourly
988d9273-52e7-41c6-9203-876fb2a85fef,m1.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,2003.0,0.0,USD,0.123,Hourly
dfb8ae2f-cbc5-4c6d-b045-328f6778d6a6,m1.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,2203.0,0.0,USD,0.135,Hourly
8ba79b64-4473-415e-b036-3d81eb0343d6,m1.xlarge,Linux/UNIX,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,4318.0,0.0,USD,0.0,Hourly
b1ae827c-9b26-4d28-ac62-d69f9e55ef58,m1.xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,4749.0,0.0,USD,0.0,Hourly
3fad9522-bef1-44d5-b422-83900c7629a5,m1.xlarge,SUSE Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,4921.0,0.0,USD,0.0,Hourly
8b411659-17ec-407b-9d87-61b0957a29bb,m1.xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,5413.0,0.0,USD,0.0,Hourly
0d5d897f-8f1f-47c4-8ee4-05fd32390610,m1.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,5800.0,0.0,USD,0.0,Hourly
6cb80572-5211-4eb8-9c05-3d2b8044317d,m1.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,6380.0,0.0,USD,0.0,Hourly
1c0df2fb-2490-40e2-814a-a8f1be427f6b,m1.xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.296,Hourly
8b087a61-9fb3-447f-a8a0-20d2a16f9ddd,m1.xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.365,Hourly
