ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
6e5599c1-c3c1-46b4-a467-d5f88f497181,m2.4xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,2921.0,0.0,USD,0.365,Hourly
c7c92804-00ae-4e9b-bfaa-bbe291effc0a,m2.4xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,2921.0,0.0,USD,0.235,Hourly
afee7603-593e-4732-8778-038cdf7d7c87,m2.4xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,3213.0,0.0,USD,0.402,Hourly
bee9daf7-5421-4dca-aaef-a0f1901ee34f,m2.4xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,3213.0,0.0,USD,0.259,Hourly
341c90a2-220c-4f95-aa1d-0d57c22bdba2,m2.4xlarge,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,3273.0,0.0,USD,0.246,Hourly
ea4a6c64-b340-46ee-9516-3e0c4c12380e,m2.4xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,3600.0,0.0,USD,0.271,Hourly
cffa64e4-cf99-4f9a-b2fe-90c733b45b35,m2.4xlarge,Linux/UNIX,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,8550.0,0.0,USD,0.0,Hourly
49bcf5e5-e5a2-4c44-8dcf-3ca0f1ba1cc1,m2.4xlarge,SUSE Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,9153.0,0.0,USD,0.0,Hourly
a9c1094e-4bf5-4e9f-bb1d-9fe0a489a26e,m2.4xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,9405.0,0.0,USD,0.0,Hourly
9d2b11c3-e95b-4640-ba6d-2e330fb169fd,m2.4xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,10068.0,0.0,USD,0.0,Hourly
717c3263-5dd6-4774-8801-c8ff2ae56232,m2.4xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,11762.0,0.0,USD,0.0,Hourly
553518a4-5e84-4e99-80d4-db9e8e0297ea,m2.4xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-northeast-1a,94608000,Availability Zone,0,12938.0,0.0,USD,0.0,Hourly
2407c5d1-9592-4636-86e4-01bd9dcea261,m2.4xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.604,Hourly
