ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
625c7b66-2e57-409f-996c-a1c7265d2d16,p2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.005,Hourly
62b3aec9-f12a-41d4-85ab-8089cae7e2ac,p2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.039,Hourly
66ba4256-e0ee-4023-bd20-35c382883227,p2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.072,Hourly
9e6af0f6-244d-4c4a-9c90-a92090ba3b27,p2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.978,Hourly
e286d10e-93c5-437f-a834-9c42eae189ce,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.099,Hourly
ee7a7a47-d8c5-4d33-8203-6168b88a9b05,p2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.945,Hourly
09ca4fa0-16bb-4edb-9170-7ba57a7678a5,p2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.882,Hourly
39507694-54f3-4c50-8439-6a33540ac35e,p2.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.904,Hourly
794560bb-1b9d-48db-8872-93937110abd1,p2.xlarge,SUSE Linux,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.855,Hourly
9f7592b5-4751-4c93-abc9-382f7b05da36,p2.xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.822,Hourly
ac32a84c-d2aa-488a-bb79-54f3738ef79f,p2.xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.937,Hourly
d03ae597-44c6-4d3d-8879-5162cf042baf,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.964,Hourly
7a20af8f-5208-4322-aca1-31dcb0a32189,p2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,9997.0,0.0,USD,0.38,Hourly
