ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1e12a451-fbe9-41b6-b3f5-e913da6fd500,r4.large,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.1204,Hourly
4bca56c5-4058-436b-9d36-2d585ce32429,r4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.155,Hourly
601c8e53-8b93-4429-a696-fd472a197b5f,r4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.5674,Hourly
6c14042e-492d-4184-863a-f3ab1c64a17d,r4.large,SUSE Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.1125,Hourly
932baff6-9baf-43ba-ba37-a9292e6ac342,r4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.1395,Hourly
ab99e612-c6e2-4e11-b0c8-811a47a1a75d,r4.large,Linux/UNIX,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.0795,Hourly
be1e99e4-c86a-4953-a096-c0734bf2356e,r4.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.5595,Hourly
d2a36360-69a7-48ad-a68f-86c0ad2fece0,r4.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.1471,Hourly
d7aa9cd2-4031-4a59-911e-2d0c87b3bfd6,r4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.1474,Hourly
e2eb9a08-5d51-4452-acb4-bb22df5c2d53,r4.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.0874,Hourly
163a4e45-c57f-437b-9912-d11f4e463d69,r4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.1436,Hourly
2727dbdd-7c9e-4817-b3ce-b7ab7fe9eb91,r4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.136,Hourly
2a9af835-0912-444b-b1c1-4779649b7539,r4.large,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.076,Hourly
