ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1f120bac-eee0-4892-9b06-72a1d19740d8,r4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.6749,Hourly
32b0dfbe-b467-41ce-8ae3-d99cc77b9d1c,r4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.6549,Hourly
36b78300-acf3-418e-a4fe-3c3779500dfa,r4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.659,Hourly
7039bb83-74f2-4924-bba0-facd943a3604,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.2349,Hourly
84812c8d-7105-448e-83d5-23be835517d7,r4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.2266,Hourly
9f5f9a6a-5aac-4b13-8a62-f187be457db6,r4.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.159,Hourly
b109b70e-1ac8-4caf-839b-8728a27f62b1,r4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.219,Hourly
b2611de1-a7e4-4633-a001-eefc6db6d635,r4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.1749,Hourly
b76869db-a2c2-4cc8-9db1-9e4c487e8fe8,r4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.639,Hourly
be892332-7495-410d-bdc8-5a58d227c86d,r4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.2425,Hourly
cd18dd95-ca53-402e-9878-6f4ca73660e2,r4.xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.192,Hourly
