ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
11989963-5b7a-463e-9188-17c09504ac9b,t2.medium,SUSE Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.0675,Hourly
3befb992-24e5-45b3-b81b-4e62b5f92a79,t2.medium,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.0945,Hourly
744e6def-2f62-4e06-b237-09ab3cc76130,t2.medium,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.1021,Hourly
8cfb1c61-8d4f-44b7-84d6-eca4ecee563f,t2.medium,Linux/UNIX,default,convertible,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.0345,Hourly
04e3e894-4da0-4290-802d-390e6f0dc2c8,t2.medium,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.09,Hourly
2fd54f1d-194a-465e-889a-9ef4d7a1aad8,t2.medium,Linux with SQL Server Web,default,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.0976,Hourly
956d484d-c3e4-4dc3-99c4-5ee26d38972f,t2.medium,SUSE Linux,default,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.063,Hourly
ea0466c0-02f7-4d61-804f-29a7dab8251f,t2.medium,Linux/UNIX,default,standard,No Upfront,ap-northeast-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.03,Hourly
5ef89bd0-3d5d-45ee-bde2-3bda812e71f4,t2.medium,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,365.0,0.0,USD,0.0139,Hourly
940382b7-b5c3-4230-8b24-aaa5b35d5882,t2.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,365.0,0.0,USD,0.0739,Hourly
1355dd73-9f6f-44ad-a32b-e01321a130c3,t2.medium,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,420.0,0.0,USD,0.076,Hourly
8283a63c-804f-4042-8f42-cb78d50b0438,t2.medium,Linux/UNIX,default,convertible,Partial Upfront,ap-northeast-1d,94608000,Availability Zone,0,420.0,0.0,USD,0.016,Hourly
1fa74444-1402-414b-a670-80dbfa51c484,t2.medium,Linux/UNIX,default,standard,All Upfront,ap-northeast-1d,94608000,Availability Zone,0,687.0,0.0,USD,0.0,Hourly
