ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1e939084-a349-42cd-801a-26c5320261cc,z1d.6xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.311,Hourly
3bcde141-a8da-4925-8651-90f014ccb3f9,z1d.6xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.002,Hourly
419975fa-6d6c-47a4-a76c-d9579cef46cb,z1d.6xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.476,Hourly
495e1b77-a00b-44f9-86ad-860b7e0639cf,z1d.6xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,10.596,Hourly
512bf844-cf32-46c4-8c6f-058aa46125d6,z1d.6xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.65,Hourly
583ab8f4-b47d-49e2-b7e7-cf96880cfd22,z1d.6xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,10.431,Hourly
839abb0a-00dc-4697-8de3-3060dd61094f,z1d.6xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.431,Hourly
97053f90-6658-497b-9d02-7e99a4db579d,z1d.6xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.485,Hourly
9b3c3fd6-5590-43d7-ac84-613ee641e2e3,z1d.6xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.561,Hourly
d519c35d-1865-479b-93ae-cefcac1aafaa,z1d.6xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.596,Hourly
d5df319f-4068-483b-a608-8b663969db15,z1d.6xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.726,Hourly
f1c53dff-106b-45ab-bce7-2e5f3ea9dd5b,z1d.6xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.836,Hourly
0c215718-120b-4471-9420-e07bfe268ef6,z1d.6xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.41,Hourly
454e0c1b-d4d4-45f7-babb-ccecdb5f2c77,z1d.6xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.815,Hourly
7ef251d3-deed-4823-b894-ec06a7755d50,z1d.6xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.29,Hourly
8a4b35e2-bf62-4d8f-941d-0e2c0eb88117,z1d.6xlarge,SUSE Linux,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.298,Hourly
9145c884-d3dc-4bbf-a709-30b70a5b1c37,z1d.6xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.244,Hourly
93622cf6-f1d3-48b2-8b57-b6787c7b2885,z1d.6xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.65,Hourly
9ab733b3-e63a-48c1-ace1-477644f0b489,z1d.6xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.464,Hourly
b5f10528-da35-40c0-98a7-9d9baf1a9abe,z1d.6xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,10.244,Hourly
c77c82a2-b915-4252-98dc-299e2e8cbbc2,z1d.6xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.374,Hourly
ebd4cbc4-6034-48f5-a49c-092b713e9496,z1d.6xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.54,Hourly
ed32c594-b8eb-4a62-9c8d-267eb768f2c4,z1d.6xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,10.41,Hourly
f11fe66b-3a31-4adc-b869-91d52cbf2f0d,z1d.6xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.124,Hourly
666ebe22-4cc2-40a8-a42e-22b6ee9272dd,z1d.6xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,15137.0,0.0,USD,0.576,Hourly
70becb92-58d1-4d86-ad14-f70ce61ef306,z1d.6xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,15137.0,0.0,USD,0.706,Hourly
0a77ddb9-977c-49a5-a605-efa92987eac9,z1d.6xlarge,SUSE Linux,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,15847.0,0.0,USD,0.603,Hourly
0e4df379-4fae-4635-8ed5-7746a3712599,z1d.6xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,17314.0,0.0,USD,0.659,Hourly
80cea662-6334-49b5-9ecf-3abf893da2e0,z1d.6xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,17314.0,0.0,USD,0.789,Hourly
5816c903-9acb-4c2b-a88d-264076ea53cc,z1d.6xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,17408.0,0.0,USD,0.792,Hourly
7349edb0-7515-46ed-b560-141a5c381273,z1d.6xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,17408.0,0.0,USD,0.662,Hourly
d974e234-6aaf-4093-9119-7578861ff3fe,z1d.6xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,18023.0,0.0,USD,0.686,Hourly
84c23696-3335-4bea-a5db-cf93eda278b0,z1d.6xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,18117.0,0.0,USD,0.689,Hourly
33aa8a2a-4f07-4863-8271-54e9acc8d9fe,z1d.6xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,19584.0,0.0,USD,0.875,Hourly
86f6b05f-fe2e-4eaa-8c4d-8c3e68d9512e,z1d.6xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,19584.0,0.0,USD,0.745,Hourly
e59ff57d-0bf2-48a1-a106-8a7bcddcd27a,z1d.6xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,20293.0,0.0,USD,0.772,Hourly
ba781e6f-f520-49be-b798-1fef64d05d5d,z1d.6xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,20467.0,0.0,USD,0.779,Hourly
baed63c0-936f-4d83-b7c1-20041a62fe1e,z1d.6xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ap-northeast-1a,94608000,Availability Zone,0,22643.0,0.0,USD,0.862,Hourly
