ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1044091a-0b11-421a-8319-4bae652cf388,z1d.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.187,Hourly
2a5518c4-6db2-4a5d-9a1c-27da05f2545b,z1d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.193,Hourly
3d214fd8-4ce7-4ed0-9525-88ddcffa5d1b,z1d.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.599,Hourly
416326a4-03ba-4d0c-a35d-2791b96afef4,z1d.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.133,Hourly
6fdd1026-ac9f-4b13-96dc-efeea5ff4eab,z1d.large,Linux/UNIX,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.119,Hourly
949bb3da-9371-46b3-bdc2-f21da21f88f0,z1d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.201,Hourly
a97b23ce-679d-4755-b3a7-55e844dd70b7,z1d.large,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.155,Hourly
aa48b78c-824d-42a2-97f3-2dcd2ee63718,z1d.large,SUSE Linux,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.141,Hourly
f7e00aab-bbba-4126-bd71-1a46b2203006,z1d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.613,Hourly
fdfb6235-9c1b-4450-9e17-2dda8ae0225d,z1d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.179,Hourly
04fcc390-17a6-4d0c-9740-8fab89ef31f0,z1d.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.597,Hourly
1701df98-ba0e-4c96-8930-c1aff2b34908,z1d.large,Linux with SQL Server Standard,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.584,Hourly
347ad4b4-5488-407b-8d3f-7fb950751eb9,z1d.large,SUSE Linux,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.126,Hourly
5ff375a1-8e52-4b13-821e-dbcf6b5c4970,z1d.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.185,Hourly
83343324-43d6-47dd-8033-14c16f54406b,z1d.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.164,Hourly
