ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
00749bd2-3678-4c2a-9b42-15e731d01362,c4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.555,Hourly
0e969a87-200d-4aa1-bc5c-dc94c21367a0,c4.large,SUSE Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.101,Hourly
2b423864-1556-4c06-abba-f797df42c5b3,c4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.143,Hourly
2e636a29-628c-4279-a630-88707de4c75f,c4.large,Linux/UNIX,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.068,Hourly
3b2ea4ce-059e-434b-ab38-3a1eca3a2dce,c4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.128,Hourly
565ebe45-cd1e-4431-b8ba-0b4ae6b159f4,c4.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.548,Hourly
a1829308-7ddd-4c58-9643-76ed026ebd53,c4.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.075,Hourly
b9e93175-e546-44c9-9910-1a24b6b810d8,c4.large,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.108,Hourly
bb455214-0b27-40d4-987c-1b97bcb55536,c4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.135,Hourly
c22c7013-a23a-407a-b32e-8c5aeccdfaec,c4.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.136,Hourly
14a80fd3-663c-442d-b7f6-6e951bb749d4,c4.large,Linux with SQL Server Standard,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.539,Hourly
3006dc82-be80-4f36-9bb6-1dd888b81683,c4.large,SUSE Linux,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.098,Hourly
388822c8-db62-4283-823a-7e1309ec1929,c4.large,Linux/UNIX,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.059,Hourly
6403b194-f751-4420-81eb-2c5c51fd148c,c4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.125,Hourly
6ab0ae09-6eac-48e6-8455-00f094f837a4,c4.large,Linux with SQL Server Web,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.127,Hourly
78af45f1-308d-445b-aa6c-ced7a3b12101,c4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.545,Hourly
7b53183e-d312-4b08-be1b-eebcdfa116fe,c4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.133,Hourly
8bfc0a36-8eac-4f63-b74d-fe381a63ceda,c4.large,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.065,Hourly
92906cdb-4a52-4f79-bd94-14c31da62f42,c4.large,SUSE Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.092,Hourly
b8d4a77b-a4d2-4fc6-96ef-e36b4758f5f8,c4.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.119,Hourly
20bfd06a-0516-41dd-9c33-62b8da39b25d,c4.large,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,723.0,0.0,USD,0.028,Hourly
8ed0b160-eac0-4732-a272-e4987a095e28,c4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,723.0,0.0,USD,0.088,Hourly
d2d6340b-7306-433e-842b-084c68f02ff3,c4.large,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,792.0,0.0,USD,0.03,Hourly
d8b5c8d6-aa15-476a-b6d7-67485e11394e,c4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,792.0,0.0,USD,0.09,Hourly
6fc22450-4c57-4fed-beb7-fd9eb72986ee,c4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,831.0,0.0,USD,0.092,Hourly
f77983be-8963-4dff-95ed-03005e5f5e06,c4.large,Linux/UNIX,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,831.0,0.0,USD,0.032,Hourly
0c388a8a-6596-461a-acd6-87dd2524e24b,c4.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,914.0,0.0,USD,0.095,Hourly
f9e6de52-bd88-49ad-96ba-ea6dc51105ca,c4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,914.0,0.0,USD,0.035,Hourly
f831b728-2b88-4c2d-bf58-dbd316f52b91,c4.large,SUSE Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1075.0,0.0,USD,0.04,Hourly
c371b568-0e9a-481b-8683-6a1233b3bae3,c4.large,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1144.0,0.0,USD,0.043,Hourly
d45529ff-93e5-4ff2-9d24-e83c4df3dd9f,c4.large,SUSE Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1183.0,0.0,USD,0.045,Hourly
328dbb94-acbf-4634-b88e-d9ec5f8a55b9,c4.large,SUSE Linux,dedicated,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1266.0,0.0,USD,0.048,Hourly
44b1af56-ced2-486b-b583-de7f572c0dc3,c4.large,Linux/UNIX,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,1359.0,0.0,USD,0.0,Hourly
31520b73-2f04-4a68-afd1-5448aaada3eb,c4.large,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,1490.0,0.0,USD,0.0,Hourly
3b06c65c-6622-4cfa-a14c-730a97b9f9dc,c4.large,Linux with SQL Server Web,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1611.0,0.0,USD,0.061,Hourly
