ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
690fcb50-c768-4a1e-bf16-256515e2e8c9,d2.2xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.984,Hourly
81c0c43b-0dfb-41bc-9cb2-551d2e1cba34,d2.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.047,Hourly
820c0180-9591-47ea-bcad-701bd2ed6280,d2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.081,Hourly
c2cd0ae3-eaff-4e75-a8f9-d2fdd87165b9,d2.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.966,Hourly
c9e2a235-1d4f-4500-84e2-86fadb829d64,d2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.879,Hourly
d509bf1d-4697-4b6f-b434-e4be597c4ba1,d2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.177,Hourly
e7a52228-bd38-4fdf-b8ac-9ba775947971,d2.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.08,Hourly
ea352b8a-7325-424a-9a2f-5dc4e575ba1d,d2.2xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.951,Hourly
c7bdd13f-074c-4553-a99b-667b1e497d7e,d2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,8461.0,0.0,USD,0.322,Hourly
ce64fe5a-56b3-4ede-8964-679acc6580e1,d2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,8461.0,0.0,USD,0.452,Hourly
4ca58875-dea1-40da-a135-b72cbbf2c391,d2.2xlarge,SUSE Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,8813.0,0.0,USD,0.335,Hourly
