ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
175397fd-341f-419f-b85e-2ac2cd87e3cd,i3.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.112,Hourly
269af862-d8c0-4089-8903-7b134f5d5a53,i3.large,Linux/UNIX,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.102,Hourly
34a52615-8b07-41ef-95aa-dc52eafb1a44,i3.large,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.145,Hourly
4e30e616-5d71-481e-bdba-975b18d63380,i3.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.592,Hourly
6087555f-a5ca-4de8-80a4-76e03f944494,i3.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.172,Hourly
710bf3e2-cda9-464a-bcd2-29977128cb54,i3.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.18,Hourly
a6dc4d92-528e-4cef-ac3a-e319e447c081,i3.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.582,Hourly
af7de267-d1ab-4a05-8fec-a7169cd0f68e,i3.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.162,Hourly
e722e712-4ced-4b45-b194-aeb4d307db88,i3.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.169,Hourly
fa58b954-cc50-4a3a-847c-f5167e7460a3,i3.large,SUSE Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.135,Hourly
2f97ab36-b5e2-4ec6-9916-acc0457474c7,i3.large,Linux with SQL Server Web,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
5c85f9e5-2458-48f7-abfa-70eab48ff28b,i3.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.165,Hourly
6dfa0cce-1a9f-4074-bbf5-1da299d9d6e4,i3.large,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.097,Hourly
7c7054c1-49e0-48f1-a82c-4c156e8bad0b,i3.large,SUSE Linux,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.13,Hourly
954beb17-e026-4017-820a-cae016d4547c,i3.large,Linux/UNIX,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.089,Hourly
a9183086-f576-4d3d-90b9-b775b4ad4a2e,i3.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.149,Hourly
a9d9eac1-d89b-4251-83f3-819d7b2e7442,i3.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.577,Hourly
bac383e1-88db-43e2-bc89-68f9fe80aa82,i3.large,Linux with SQL Server Standard,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.569,Hourly
c141412d-d66c-4c29-8e5a-dc3ae0ae0d0a,i3.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.157,Hourly
d6d5c2f9-f384-42fb-a5d6-4c2ba89a7b40,i3.large,SUSE Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.122,Hourly
ee9701f7-6d2a-4a3e-ba1d-d5702a7f94f0,i3.large,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1082.0,0.0,USD,0.041,Hourly
f74a1432-1296-48c8-9226-10b378926eb7,i3.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1082.0,0.0,USD,0.101,Hourly
02eeca26-3522-465a-a724-98c69a269bc8,i3.large,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1190.0,0.0,USD,0.045,Hourly
8b072ae2-4952-4a83-b875-b7ad2bbb3caf,i3.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1190.0,0.0,USD,0.105,Hourly
cfdeeb64-3f9d-44e1-a12a-0b62449d537b,i3.large,Linux/UNIX,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1239.0,0.0,USD,0.047,Hourly
e9382982-be49-45e0-98a8-7a79b694c738,i3.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1239.0,0.0,USD,0.107,Hourly
2884a423-61ec-459d-8787-a7df25776018,i3.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1363.0,0.0,USD,0.052,Hourly
3fbbf003-76d5-45d7-8874-20081e7e4171,i3.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1363.0,0.0,USD,0.112,Hourly
ebda4213-2013-4348-bd1a-9022b7291fc7,i3.large,SUSE Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1434.0,0.0,USD,0.054,Hourly
63f37c04-1b4d-4969-9c3d-dc887f863aad,i3.large,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1542.0,0.0,USD,0.058,Hourly
efd139cc-5e1d-4e1f-96ee-28e98b385d37,i3.large,SUSE Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1591.0,0.0,USD,0.06,Hourly
ddff0a26-befa-474f-8038-75cc1ce8a05b,i3.large,SUSE Linux,dedicated,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1715.0,0.0,USD,0.065,Hourly
819f51f4-6385-4b77-910e-fa457bee0092,i3.large,Linux with SQL Server Web,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1966.0,0.0,USD,0.075,Hourly
c88ec371-42ff-4969-88f4-a9dced17b459,i3.large,Linux/UNIX,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,2034.0,0.0,USD,0.0,Hourly
3f6cec64-ba74-4066-8b69-28007f97a96d,i3.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,2073.0,0.0,USD,0.079,Hourly
4214d9dc-061a-4899-926d-fc05a479e04d,i3.large,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,2127.0,0.0,USD,0.081,Hourly
8883135a-caca-498e-8e88-141aeacb1c86,i3.large,Linux/UNIX,dedicated,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,2238.0,0.0,USD,0.0,Hourly
94f70775-f862-4490-833a-997da7c89e6f,i3.large,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,2251.0,0.0,USD,0.086,Hourly
aba3392c-55db-4908-beba-3921af084db6,i3.large,Linux/UNIX,default,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,2429.0,0.0,USD,0.0,Hourly
01bb76b1-e973-40ac-babc-5e62cafd8099,i3.large,Linux/UNIX,dedicated,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,2672.0,0.0,USD,0.0,Hourly
5c0246e6-c5c6-4b07-9c0e-d0a37609d0a3,i3.large,SUSE Linux,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,2728.0,0.0,USD,0.0,Hourly
a9964500-8ef5-4152-ac81-3289c7b45ec5,i3.large,SUSE Linux,dedicated,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,2932.0,0.0,USD,0.0,Hourly
dab419cf-7f5a-41c4-abe9-36ed2c202f14,i3.large,SUSE Linux,default,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,3123.0,0.0,USD,0.0,Hourly
2f05f7d6-214d-4523-b5cb-3ebdffb8cb2c,i3.large,SUSE Linux,dedicated,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,3366.0,0.0,USD,0.0,Hourly
