ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
26f12848-ea91-4a77-92d4-4ed93d0c0572,p2.8xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.207,Hourly
8b7b5791-d9a0-4459-a3b3-9beb456bbe6a,p2.8xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.924,Hourly
a05810a3-9f23-4a3d-84a7-c90983d6e70e,p2.8xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.891,Hourly
aa6e3e49-d9bf-43c9-8d99-c85793d098c6,p2.8xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.174,Hourly
c436fa2d-52a6-4a49-b0cb-948edcd90f66,p2.8xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.304,Hourly
d2be7444-adde-43a3-b5ab-54feb4179b58,p2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,8.021,Hourly
d8ffb8ed-d61c-4d2b-ae5e-47b141f7d3e3,p2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,19.891,Hourly
e76e6d81-f551-4ccb-a856-610332845d96,p2.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,19.174,Hourly
09cd7677-8b68-43b7-b05c-558ead58371a,p2.8xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.895,Hourly
18208d34-02c6-4fcd-9d6a-bf6fbd98b32f,p2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.992,Hourly
