ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2ab7aaeb-6425-4d73-a826-fd03dff4fd56,r4.16xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.5436,Hourly
5c1392c2-1b8e-4fde-a4a3-6316bde158a2,r4.16xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.2236,Hourly
5f721422-a532-49d4-977a-f67f3f9fdfec,r4.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.6736,Hourly
6975e362-6b1a-4cdc-8848-62bbd9b6c875,r4.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,26.5436,Hourly
728152a3-9c35-42bc-be04-37827e01d022,r4.16xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.6252,Hourly
85fcbbe7-2185-4075-874d-3f7f5a959aad,r4.16xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.2236,Hourly
b99eb729-3d78-485d-923a-8deb635e7502,r4.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,26.5436,Hourly
ba66d49a-0b3a-4a00-80ee-304b2945b4f4,r4.16xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.5766,Hourly
dcca2027-3985-4399-8d57-4a154f7039b1,r4.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.5436,Hourly
e33d3efa-6887-46aa-a2d4-1aa711e55802,r4.16xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.6252,Hourly
ec201d32-cf5c-4ef4-8285-8c2f745ae4c7,r4.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.6736,Hourly
fbcca9c0-51d6-442f-b7eb-5e44ef6c5102,r4.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.5766,Hourly
0fba6169-1c30-41c1-901e-c86f8ac58937,r4.16xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.2118,Hourly
1c591532-6f7b-4b8c-b378-3ec485fc6141,r4.16xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.3418,Hourly
