ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
08ec7669-3b9c-48bb-aa2e-d71260dc4832,t2.2xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2661,Hourly
26cd3378-f666-4b22-9bba-b1c57bfe6db9,t2.2xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2331,Hourly
5f0cec13-9341-4174-968e-c725b53c6ff7,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3631,Hourly
7805ef0b-765c-49b1-90e0-0ed0a74eddef,t2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3683,Hourly
a39d7c75-85c3-4af8-b5a4-4170926f19af,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.2331,Hourly
3a8e26ba-34de-48bd-a077-20cbf0543881,t2.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3323,Hourly
64cd6aa6-7edb-41ca-8376-eaa0107378f8,t2.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3375,Hourly
bfede639-a276-448a-85ee-27bc4bee02c8,t2.2xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2023,Hourly
d5ab1320-d783-42d3-b6ea-a6f786c5d2fb,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.2023,Hourly
e1335c8c-36da-4988-9e88-bebdec51c93e,t2.2xlarge,SUSE Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2353,Hourly
03c3eb9b-a945-42fb-847f-914f973dfed3,t2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,2461.0,0.0,USD,0.0937,Hourly
6746fb7b-0d6c-41f2-abf5-95496edae34c,t2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,2461.0,0.0,USD,0.2237,Hourly
129c1b2b-d540-444d-9039-b07dc390b22d,t2.2xlarge,SUSE Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,2813.0,0.0,USD,0.1067,Hourly
455bdb84-85a5-4cd1-b503-a8be9940a487,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,2835.0,0.0,USD,0.2379,Hourly
b91d3f6c-339c-4e52-836c-22c5fcce6090,t2.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,2835.0,0.0,USD,0.1079,Hourly
03f28e29-b427-4c9e-82cb-da0335d4a7df,t2.2xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,3187.0,0.0,USD,0.1209,Hourly
2d4607b2-4761-4596-aefa-40bf2194bb65,t2.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,4238.0,0.0,USD,0.1613,Hourly
8def08ce-dc4d-48f3-b4f7-e27eab68cec3,t2.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,4612.0,0.0,USD,0.1755,Hourly
d708addb-0cda-4e39-b53a-7bd0d593d32d,t2.2xlarge,Linux/UNIX,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,4627.0,0.0,USD,0.0,Hourly
a181c745-3399-4cbf-8085-5bd19ef3aceb,t2.2xlarge,SUSE Linux,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,5321.0,0.0,USD,0.0,Hourly
4f2e17e2-ad6f-4040-8847-f4fc2b2bb4eb,t2.2xlarge,Linux/UNIX,default,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,5558.0,0.0,USD,0.0,Hourly
7fc42272-0781-4868-8c0e-4020826c35db,t2.2xlarge,SUSE Linux,default,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,6252.0,0.0,USD,0.0,Hourly
7667c25c-da8b-4060-aec6-1b289cdfb995,t2.2xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,8044.0,0.0,USD,0.0,Hourly
cddaa1c6-250b-440f-8a5b-3fc13765730e,t2.2xlarge,Linux with SQL Server Web,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,8180.0,0.0,USD,0.0,Hourly
869a8657-fb3f-4c7f-a0d8-b9d9677ca4b6,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,8974.0,0.0,USD,0.0,Hourly
0a692750-00e0-4aa6-ba96-bcd6a0fd5945,t2.2xlarge,Linux with SQL Server Web,default,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,9111.0,0.0,USD,0.0,Hourly
7db731e2-06da-4de9-827b-e67294ebfc88,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,41881.0,0.0,USD,1.5937,Hourly
4fb22e95-e69f-443b-ae88-919e4bc15451,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,42255.0,0.0,USD,1.6079,Hourly
eb7d2960-0c96-4109-8e1a-51f836d41273,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,83467.0,0.0,USD,0.0,Hourly
ac70cb05-1bc7-4579-914e-1c775892de3d,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,84398.0,0.0,USD,0.0,Hourly
1c9f8346-0008-460d-a29e-83fb13762f89,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.4467,Hourly
5fc7f073-7871-4211-bdd5-50783f0d4a67,t2.2xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.3497,Hourly
763f76e7-5f0a-4e86-908c-f27e6fa8c97f,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-2a,31536000,Availability Zone,0,0.0,0.0,USD,3.3167,Hourly
8d7913cc-5e7b-42e9-a180-ab3fb153a9bf,t2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.4519,Hourly
