ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
34e817f0-fe4c-4f4f-bc3c-c80420a6e785,t2.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1259,Hourly
7491ed9c-9b5d-4f35-bbac-576cecfa11f2,t2.large,Linux/UNIX,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0583,Hourly
ce0c45b1-af2f-4536-bb32-eec4ff35a01e,t2.large,SUSE Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0913,Hourly
d88420cd-87e5-4644-8e5c-6884772bd665,t2.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1183,Hourly
276ea2c9-933b-4aa9-a6ba-e1a1dde34ea6,t2.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1106,Hourly
68db235d-690d-41d4-9b3a-2e651ea7ab4c,t2.large,Linux/UNIX,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0506,Hourly
934bceac-8880-4a01-8e51-4d6a4e3fc821,t2.large,SUSE Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0836,Hourly
a71c2886-ead9-49fa-8ea3-06e1dc202a65,t2.large,Linux with SQL Server Web,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1182,Hourly
4e6b3264-1e25-48e1-a0bb-ce216f3d560b,t2.large,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,615.0,0.0,USD,0.0234,Hourly
f0dd5140-9169-4001-9813-f87ac816a204,t2.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,615.0,0.0,USD,0.0834,Hourly
3b11665c-7515-4f4f-904b-5cc048e3bac6,t2.large,Linux/UNIX,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,709.0,0.0,USD,0.027,Hourly
5020acef-0472-4801-bfbf-358a0072f301,t2.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,709.0,0.0,USD,0.087,Hourly
fa95c9ff-1ccf-4dfd-bb11-5f9f3f146572,t2.large,SUSE Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,967.0,0.0,USD,0.0364,Hourly
d2ffa4ce-9d74-4de0-af4f-71da9ddbe909,t2.large,SUSE Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1061.0,0.0,USD,0.04,Hourly
b948af91-f6c4-4588-812b-54b15611e649,t2.large,Linux/UNIX,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,1157.0,0.0,USD,0.0,Hourly
5518f09b-d607-4767-8208-5a42b0f8d850,t2.large,Linux/UNIX,default,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,1389.0,0.0,USD,0.0,Hourly
1cd5ff23-c96b-4d77-86d8-928b9b2ed37c,t2.large,Linux with SQL Server Web,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1504.0,0.0,USD,0.0572,Hourly
