ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
33fae46f-1a32-4cfd-8cff-2873639a040b,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0746,Hourly
86272451-6d04-4dd7-bdd7-0e9f2cedf9d7,t2.small,SUSE Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.034,Hourly
d45169ce-23e4-4010-bc1e-755e02a61637,t2.small,Linux/UNIX,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0146,Hourly
ddbd9314-c428-4741-ad64-0f809a345627,t2.small,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0822,Hourly
2aaca110-f147-4486-87c6-bf431a7020b5,t2.small,Linux/UNIX,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0126,Hourly
9abacd1a-d29d-4468-81fc-ab2311a62f94,t2.small,SUSE Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0356,Hourly
c5fbeb33-8619-41e9-9ef1-14fd15e88478,t2.small,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0726,Hourly
cfecf46f-2929-443e-acfb-21b5f7dbe0de,t2.small,Linux with SQL Server Web,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0802,Hourly
0c40e9ac-b0a4-4c1c-9995-791c0ed887e8,t2.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,154.0,0.0,USD,0.0659,Hourly
768cd582-fb66-4ffd-8d09-12043c7ba087,t2.small,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,154.0,0.0,USD,0.0059,Hourly
4d87da0f-1a08-4d87-9ac3-52046caa6aab,t2.small,Linux/UNIX,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,177.0,0.0,USD,0.0067,Hourly
614d55a3-5354-49da-b77f-356b1dc2f681,t2.small,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,177.0,0.0,USD,0.0667,Hourly
df06b0dd-eab7-454d-abd7-c580c56c4a79,t2.small,Linux/UNIX,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,289.0,0.0,USD,0.0,Hourly
c57cb425-a0ee-4f9e-b2f1-aa77954aca6a,t2.small,SUSE Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,330.0,0.0,USD,0.0189,Hourly
9648b2cb-9c6f-47b2-8e69-7409a72b255f,t2.small,Linux/UNIX,default,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,347.0,0.0,USD,0.0,Hourly
b2400a46-35b1-475b-ae41-030b6cd8e1dc,t2.small,SUSE Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,353.0,0.0,USD,0.0197,Hourly
8f74677e-4926-43e6-a223-54f1fa5967ed,t2.small,SUSE Linux,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,807.0,0.0,USD,0.0,Hourly
1fc25213-5348-4c6a-9bfc-1d9395e06699,t2.small,SUSE Linux,default,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,865.0,0.0,USD,0.0,Hourly
82cce674-e7f7-4431-829a-abc222a96e07,t2.small,Linux with SQL Server Web,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1042.0,0.0,USD,0.0397,Hourly
d0275390-eaff-4800-b2ba-f9f95918d9fa,t2.small,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,1065.0,0.0,USD,0.0405,Hourly
fe6ee02f-472e-4eac-b9bd-2061436e022c,t2.small,Red Hat Enterprise Linux,default,standard,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,1866.0,0.0,USD,0.0,Hourly
747f5b73-8b71-4fb2-9bc4-295c690fe149,t2.small,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-northeast-2a,94608000,Availability Zone,0,1924.0,0.0,USD,0.0,Hourly
