ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
04b310a4-ed55-4006-a947-2cb7f38eb4dc,x1.16xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,4.657,Hourly
18215251-84aa-40e9-a1d1-19714360d52d,x1.16xlarge,SUSE Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.609,Hourly
1e58d8a0-2102-434f-bdfc-6607923f4080,x1.16xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,5.015,Hourly
2f208350-78ac-40c5-8fe7-e58b913ed61d,x1.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.966,Hourly
329bbe1c-c59f-4eb8-a857-e0b625b38673,x1.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,27.576,Hourly
4de23952-a903-4073-a7a9-27cfe7fcc9cf,x1.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,4.063,Hourly
4ff172fc-39bf-4c9d-a259-73f569e015e3,x1.16xlarge,Linux/UNIX,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.576,Hourly
9d49d231-e885-4624-87f3-fe41fc091baa,x1.16xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,11.256,Hourly
c9888683-1bc0-414e-9ef4-760c7d6340d8,x1.16xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,11.613,Hourly
e1ae3590-7d38-4862-80c1-5978299ad8f9,x1.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,27.933,Hourly
e44fc95a-fbf5-4176-b644-146a0e564c5e,x1.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.933,Hourly
f35bc410-2acd-42de-bfae-86db454ea2a6,x1.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.706,Hourly
04e7468e-db80-44c8-b51d-1c16b23ac451,x1.16xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.239,Hourly
32bf71d6-0e1a-42f9-92f5-fdb4f695cb8d,x1.16xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,4.502,Hourly
3da538a9-77fe-4892-a627-daf11819543d,x1.16xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.453,Hourly
47dec79f-740a-471c-85ed-35139f8fbf7f,x1.16xlarge,SUSE Linux,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.142,Hourly
499fe502-9dc2-423c-bcfc-2dcef417b904,x1.16xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,27.42,Hourly
567b456c-c5e3-4444-a6d3-36e936371f03,x1.16xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.55,Hourly
65d5bd84-a87f-4b98-9bdc-fd68b3d16621,x1.16xlarge,Linux/UNIX,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.109,Hourly
6dac3e0c-3ccc-4b89-b89a-0368cd7c2117,x1.16xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,4.191,Hourly
71a14e67-0c0b-404f-9d3c-2d10238c94ca,x1.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.42,Hourly
87caa708-740b-4638-a92f-23dc9f9653fc,x1.16xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,11.1,Hourly
b65bc544-d00c-4e9a-a015-126a81dba13b,x1.16xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,27.109,Hourly
f359aa07-9d47-4787-b8e1-a8428a90e67c,x1.16xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ap-northeast-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.789,Hourly
241ec5dc-fb3e-4867-87c7-8b824f1d2d7b,x1.16xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,37830.0,0.0,USD,1.439,Hourly
561d609d-c961-41d1-a13d-8d8b55e4eb79,x1.16xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,37830.0,0.0,USD,1.57,Hourly
78cb1dd1-ffba-4790-ba56-821dc70a6712,x1.16xlarge,SUSE Linux,default,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,38182.0,0.0,USD,1.452,Hourly
8f7ff5d3-f6c4-43e0-a77d-13b58e94a029,x1.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,41613.0,0.0,USD,1.583,Hourly
f42b8eac-a14a-42e2-8247-8cae6780b14f,x1.16xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,41613.0,0.0,USD,1.713,Hourly
22798c35-437e-48a9-9513-779f0c3a7519,x1.16xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,41965.0,0.0,USD,1.596,Hourly
154f56c3-1e4c-4e8e-a786-b0a33155c007,x1.16xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,43505.0,0.0,USD,1.785,Hourly
83d5a5c7-9681-410c-b2b3-7ae72dd96b34,x1.16xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,43505.0,0.0,USD,1.655,Hourly
701395ff-9f26-4a76-b583-fe645488ccb9,x1.16xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-northeast-2a,94608000,Availability Zone,0,43857.0,0.0,USD,1.668,Hourly
