ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
03ef006c-2645-48e5-8f2f-ebc1aa1ccd12,c4.2xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.221,Hourly
22272fc3-73a9-48fd-8b6d-636f63055845,c4.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.351,Hourly
2adaa2bf-7949-4d3e-b0e5-d755e60da3bc,c4.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.243,Hourly
2f8433bf-4b26-4fd2-af70-d938082d8c04,c4.2xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.254,Hourly
3f784e29-c7f7-406b-bab1-07687efe662a,c4.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.357,Hourly
576ccd5a-e9bc-4f19-ad60-770bc5ee4c70,c4.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.221,Hourly
82491c8f-b94c-43a8-8060-2c5ce0cea479,c4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.243,Hourly
93c49ffd-0d0d-48d6-86ed-867f99693697,c4.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.181,Hourly
ab5a1bf7-d1b3-435c-b5ca-75a7329781f9,c4.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.379,Hourly
b4e9a667-ce73-4cb4-b5f6-85bdc9712912,c4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.373,Hourly
