ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
49b8052b-96ea-43b5-8b6a-efb3bd567da2,c4.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.061,Hourly
4e3b184d-35b9-4d35-80b2-39233f992bbb,c4.large,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.055,Hourly
5118630c-d375-4bc6-9462-21b624496595,c4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.121,Hourly
7a884151-971f-4b4c-9ee2-3b9d3142df18,c4.large,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.088,Hourly
a0ed9ccf-0e64-4102-a930-397a220df67d,c4.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.123,Hourly
a7cf1e3b-5296-4a3b-930b-2645dc35954a,c4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.115,Hourly
b46b80ae-c3d7-4e63-891c-cb4aabf4c999,c4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.541,Hourly
b5a06d53-e45a-4d3f-8c78-dcff786a0e9e,c4.large,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.094,Hourly
c83be05a-a0d6-475d-bb02-dff9a23efe18,c4.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.535,Hourly
ccf863a4-e71b-4c0d-ac19-9d7902d9c313,c4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.128,Hourly
08554c6c-2ef3-4c40-9ebd-da663912f6ef,c4.large,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.081,Hourly
0f0fac09-1b7b-4c61-866c-74fc32514509,c4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.113,Hourly
13a3cb6c-c837-401f-8716-07a022729937,c4.large,SUSE Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.086,Hourly
1a94e71c-ca3c-4814-b59a-0740b9dd1792,c4.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.108,Hourly
236ee376-4b8a-4f89-b7ff-432def6902d0,c4.large,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.116,Hourly
51c8f343-aec4-4438-97ce-866d2ef9d0ba,c4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.533,Hourly
8aaab591-92f7-4161-aa4b-74940aea4f1c,c4.large,Linux/UNIX,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.053,Hourly
97276d01-bc01-4a42-82a1-b49a874d3073,c4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.121,Hourly
b79cb1e5-2e63-4293-8cbe-c37a52969af6,c4.large,Linux with SQL Server Standard,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.528,Hourly
f66d25e7-ceba-4eca-95c0-340d07faf767,c4.large,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.048,Hourly
2f3093fa-c671-4d99-ac06-ee8562557278,c4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,585.0,0.0,USD,0.082,Hourly
7cb5e7cd-17be-4527-9821-a8daf0ff0f7f,c4.large,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,585.0,0.0,USD,0.022,Hourly
734a1ebe-d668-48f8-aa04-f4c39fb9c29b,c4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,644.0,0.0,USD,0.085,Hourly
bea7bec8-cca5-4499-b82a-34f4381d5db2,c4.large,Linux/UNIX,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,644.0,0.0,USD,0.025,Hourly
55ffc018-002a-4533-89f7-07f7ec4e075e,c4.large,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,673.0,0.0,USD,0.026,Hourly
c1542438-870b-49fc-9473-af0d7e2580bc,c4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,673.0,0.0,USD,0.086,Hourly
7579b4a1-73ed-4502-80db-146114cce247,c4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,740.0,0.0,USD,0.028,Hourly
8fb600d6-c5b6-4c1e-a6a6-541288d3b1c3,c4.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,740.0,0.0,USD,0.088,Hourly
