ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
02450d8d-f7b5-421a-8454-ff29602e55f8,d2.2xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.911,Hourly
0467b2d7-a76c-4bb5-805c-52c2c969859b,d2.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.965,Hourly
0e5cc806-6445-4ad5-98da-9da31a05c9ca,d2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.095,Hourly
0f019c31-99c5-4954-9756-ebeebfc9d70b,d2.2xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.878,Hourly
6fee268b-8af5-4304-bd56-06547c51ac51,d2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.008,Hourly
9604d62e-9b76-4542-ba2e-424d63805ecf,d2.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.891,Hourly
9bbf2026-a4db-48e2-9026-8761f5b60e5a,d2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.81,Hourly
a184f1f0-bd72-4582-adad-bf09254c9c9c,d2.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.998,Hourly
b68f81da-9a6a-4940-95f1-c7bc38b3eba5,d2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,7796.0,0.0,USD,0.427,Hourly
cf7ad0f8-c1a2-4e9a-b2d7-e88d31b34e0b,d2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,7796.0,0.0,USD,0.297,Hourly
