ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0dbb6d8e-9aa1-425b-8657-a91926154176,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.945,Hourly
37a8f6c7-7c9b-434b-90a4-14e56944703b,d2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.499,Hourly
3a635722-7605-4a62-b1ce-52e6655045b1,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.483,Hourly
4c1dc8e9-0608-4cee-aaa5-0ae8d66cc82a,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.516,Hourly
60be971e-9344-4c8d-b61c-daeb43ccae7e,d2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.439,Hourly
89741bb8-0882-4098-9c04-b99bc34e0014,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.905,Hourly
d7d39032-238f-4002-918d-b408d6f39f0d,d2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.472,Hourly
db8f9320-6591-407f-9fbf-1fe73a9b245c,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.543,Hourly
264f3f81-7a56-4615-af75-69a91655da30,d2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,3900.0,0.0,USD,0.208,Hourly
bb8f4fb6-2b2c-40e5-acad-33e4e4c79312,d2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,3900.0,0.0,USD,0.148,Hourly
e1fd9439-1f26-43ef-91fe-34c075a1df78,d2.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,4252.0,0.0,USD,0.161,Hourly
9023cf98-9165-41bb-abd8-aa171eac8c2b,d2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,4291.0,0.0,USD,0.163,Hourly
f6309e1a-2412-400d-af50-f73707110e72,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,4291.0,0.0,USD,0.223,Hourly
1d5fc4e2-c265-4577-ba73-48da9a042b52,d2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,4643.0,0.0,USD,0.176,Hourly
078ae3bf-e927-47ef-aab5-9c6fc13cb972,d2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,4928.0,0.0,USD,0.247,Hourly
c4c95531-f8f4-4659-a399-d57490053976,d2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,4928.0,0.0,USD,0.187,Hourly
50c32dff-37f5-4e75-b34c-c8a603db7be5,d2.xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,5280.0,0.0,USD,0.2,Hourly
2696f62b-cb3b-4c56-908d-ab9c2d745ae2,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,5422.0,0.0,USD,0.266,Hourly
6ca30a8c-daa6-4779-88bc-41aa26500628,d2.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,5422.0,0.0,USD,0.206,Hourly
db40a628-8d36-4a48-a03c-8f3a9570ee29,d2.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,5774.0,0.0,USD,0.219,Hourly
64d70e65-fe5b-4e76-a200-980b5aaa3c12,d2.xlarge,Linux/UNIX,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,7331.0,0.0,USD,0.0,Hourly
83e7a9e7-1dd5-4ecc-b6be-4fe26d89388d,d2.xlarge,SUSE Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,8025.0,0.0,USD,0.0,Hourly
f20ec7f7-624e-4a72-8465-2483a7ad4525,d2.xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,8067.0,0.0,USD,0.0,Hourly
a180e091-377a-434f-9683-4fb9b41075db,d2.xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,8761.0,0.0,USD,0.0,Hourly
2fce397c-f91b-4910-ac75-09dbfe0c7741,d2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,8908.0,0.0,USD,0.0,Hourly
6a788212-7be2-4d99-9760-59ceb2b3a135,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,9644.0,0.0,USD,0.0,Hourly
07cabbc9-8a6f-4425-9cf1-da7c6484000c,d2.xlarge,Linux/UNIX,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,9661.0,0.0,USD,0.0,Hourly
40df6b42-7d59-4d2e-b2c3-2066302ab02c,d2.xlarge,SUSE Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,10355.0,0.0,USD,0.0,Hourly
af786689-e1d8-4db5-adb2-9cfeea33d041,d2.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,10630.0,0.0,USD,0.0,Hourly
3814b1f6-8a90-4653-ae26-e2c76787ad80,d2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,11236.0,0.0,USD,0.0,Hourly
7a3905f0-bbdf-4adc-beb9-2d2afd926584,d2.xlarge,SUSE Linux,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,11324.0,0.0,USD,0.0,Hourly
0a784853-5e8e-4600-9501-59241c450d1e,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,12205.0,0.0,USD,0.0,Hourly
d9e0eec0-da06-40ba-9378-424dc6382770,d2.xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,23611.0,0.0,USD,0.898,Hourly
0c56837f-a3dd-4fd6-a3a0-2440d0e7b07e,d2.xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,24001.0,0.0,USD,0.913,Hourly
daafafd8-6bde-4147-96db-602880132e4a,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,24636.0,0.0,USD,0.937,Hourly
b720e723-8ec7-430f-82f7-c13b86c9f17b,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,25129.0,0.0,USD,0.956,Hourly
d420f9ee-e0c0-461e-9766-bd99e505c102,d2.xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,46754.0,0.0,USD,0.0,Hourly
5b5242f1-9b69-4d00-9aa2-2a35ead59658,d2.xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,47488.0,0.0,USD,0.0,Hourly
185c308f-2218-42f0-b89f-719492800cf1,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,49075.0,0.0,USD,0.0,Hourly
1d6dac08-86ce-4a27-a0bc-32e83b3c807b,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,50041.0,0.0,USD,0.0,Hourly
152f2f5c-9a8e-49df-948c-51e67c6f0155,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.582,Hourly
34fd01d2-c238-4cfc-bfd4-c982cbb6f3df,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.999,Hourly
58e5e72e-4404-4afa-9acd-b9fc8c20de28,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.609,Hourly
786d403c-7b8a-4569-9c00-5f73153a3b35,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.549,Hourly
