ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0afc376e-a6e4-4866-bf73-54a93d291e40,i3.16xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.179,Hourly
1baf7963-cfe6-40e6-bd4c-181fb4c538e6,i3.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,27.179,Hourly
2f1b14b3-522b-4288-9416-75ab6605d4a1,i3.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,27.179,Hourly
5900c93b-dc2a-40f6-9c85-76ff2a2b56b0,i3.16xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,10.859,Hourly
68645dfb-a0d1-4505-88d2-d273c12760e2,i3.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.309,Hourly
6d85b61b-c8ca-4ccf-b4ca-a160987baa43,i3.16xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.261,Hourly
7aaf5b9c-4dcd-47f4-b31d-6947e24b99e6,i3.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.212,Hourly
7c920260-a885-417b-a95e-fda430807e19,i3.16xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.261,Hourly
a2a2ff8d-c9a6-4caf-866f-eb3a1ecabc97,i3.16xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.212,Hourly
b0787127-cecf-4278-bbef-e009ecd7b9a6,i3.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.309,Hourly
e212fb2c-cd93-4f18-b521-7f20d4445ea0,i3.16xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,10.859,Hourly
f3e4f5a4-7a5d-44cb-b1d2-626bb3665933,i3.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.179,Hourly
26fff67b-c6b7-49bb-b1b6-7c7da93a5d3f,i3.16xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,10.445,Hourly
29567a33-1e4d-4ccd-8d33-0975d36f9740,i3.16xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,26.765,Hourly
484277bf-9b56-43b2-8537-0c5d0f2cb2ea,i3.16xlarge,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.798,Hourly
50df0c3e-800c-48f6-a239-18b3d077d646,i3.16xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.846,Hourly
58636ae4-43c6-414f-aac1-d09c07ee0d62,i3.16xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,10.445,Hourly
66b3a5f2-d523-4f10-ad75-661aab5f3f44,i3.16xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.846,Hourly
89ae7d5b-93e0-4b71-9463-3d9cee6ef29c,i3.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.765,Hourly
96165b2c-a5ce-419b-b6db-4faae4365df6,i3.16xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,26.765,Hourly
9e7b7deb-855b-498f-a2fe-b1cc9fd7a957,i3.16xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.895,Hourly
f99e968a-78bb-4c35-a2af-e51a2715ed82,i3.16xlarge,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.765,Hourly
fb2f6271-ad1d-4c27-a9cb-af876c2dd626,i3.16xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.798,Hourly
fcacd398-59c4-4ad2-8be0-b1a193706a6b,i3.16xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.895,Hourly
47e322dc-5ad2-4940-b3ee-6d3977e7e89f,i3.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,33491.0,0.0,USD,1.274,Hourly
6fee2863-5f99-4776-abc6-1e8c28608876,i3.16xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,33491.0,0.0,USD,1.274,Hourly
8ae48926-7a05-4583-ab83-3bc2c76e39cf,i3.16xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,33491.0,0.0,USD,1.404,Hourly
b897a8d1-2c43-47f1-97d8-104b0f0c942f,i3.16xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,33491.0,0.0,USD,1.404,Hourly
6e3ca5f0-4a3b-4c97-8ecd-05a2830ca25d,i3.16xlarge,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,33843.0,0.0,USD,1.287,Hourly
b389c58f-2075-43a7-a756-ce0bc971b3f6,i3.16xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,33843.0,0.0,USD,1.287,Hourly
1d287a86-9a3d-42e6-8dfa-5ff03c30cbef,i3.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,38684.0,0.0,USD,1.602,Hourly
766258bc-62ee-478b-a618-8ad00c9ed243,i3.16xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,38684.0,0.0,USD,1.472,Hourly
990ee224-5ac4-41f3-a059-5c474804a695,i3.16xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,38684.0,0.0,USD,1.472,Hourly
9c9d87fe-51f4-46ae-ae3f-1c38397ad7c3,i3.16xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,38684.0,0.0,USD,1.602,Hourly
1c571ee3-1b79-41b8-9802-9180bfadf6d6,i3.16xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,39036.0,0.0,USD,1.485,Hourly
3a7ab158-9ee5-4891-815c-0dd995fe57cc,i3.16xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,39036.0,0.0,USD,1.485,Hourly
d0be3460-8360-4e68-8c93-c6cfb117d888,i3.16xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,47851.0,0.0,USD,1.821,Hourly
fb816cb2-3c8a-4cfc-a80e-a1e9f4cd14eb,i3.16xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,47851.0,0.0,USD,1.821,Hourly
72a275c7-8274-417a-85d6-343fa728d955,i3.16xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,52896.0,0.0,USD,2.013,Hourly
eb5afe5a-e6bf-4c1c-8089-bdb42b2889f1,i3.16xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,52896.0,0.0,USD,2.013,Hourly
6ccc789d-5749-4c70-ac65-42589823b323,i3.16xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,62964.0,0.0,USD,0.0,Hourly
e2bdd4c0-fb00-4e88-8773-f79feedc994c,i3.16xlarge,Linux/UNIX,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,62964.0,0.0,USD,0.0,Hourly
3f72d6a0-be47-4de9-8089-e8cabb4868f4,i3.16xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,63658.0,0.0,USD,0.0,Hourly
7218d55d-ab2b-4d03-8eb3-e7cdd2bba304,i3.16xlarge,SUSE Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,63658.0,0.0,USD,0.0,Hourly
055d0dfb-4660-4814-9dd3-e74f4a1a8269,i3.16xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,66380.0,0.0,USD,0.0,Hourly
9087c49c-bc57-45de-bd4b-8beed315c4ff,i3.16xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,66380.0,0.0,USD,0.0,Hourly
0bf1c30f-222b-4a57-bf58-94d4462362c8,i3.16xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,75820.0,0.0,USD,0.0,Hourly
fcf7ff15-d546-45c8-b271-4a10af8f3e25,i3.16xlarge,Linux/UNIX,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,75820.0,0.0,USD,0.0,Hourly
418bec20-f987-495d-9d58-db20af326ceb,i3.16xlarge,SUSE Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,76514.0,0.0,USD,0.0,Hourly
e1b37165-b674-4ad6-bac9-7fe3ad71862f,i3.16xlarge,SUSE Linux,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,76514.0,0.0,USD,0.0,Hourly
6df6984a-0d34-4984-b9f0-69631f635661,i3.16xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,79237.0,0.0,USD,0.0,Hourly
e5c3ae86-d0d6-4f15-996c-c90d55ee920b,i3.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,79237.0,0.0,USD,0.0,Hourly
3ba65abc-7be9-4fa5-ab3e-6b9bafc81629,i3.16xlarge,Linux with SQL Server Web,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,91665.0,0.0,USD,0.0,Hourly
d5b0d7cc-9c6e-4a0c-8afe-7e4313625266,i3.16xlarge,Linux with SQL Server Web,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,91665.0,0.0,USD,0.0,Hourly
376c51ed-39e6-4e57-9e10-d0166ff3ab3a,i3.16xlarge,Linux with SQL Server Web,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,104245.0,0.0,USD,0.0,Hourly
38daab25-4c46-4b0c-b56b-3365be43245e,i3.16xlarge,Linux with SQL Server Web,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,104245.0,0.0,USD,0.0,Hourly
3a584819-de04-46e4-a9c0-8e0652a356ba,i3.16xlarge,Linux with SQL Server Standard,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,134554.0,0.0,USD,5.12,Hourly
8d26d663-1caa-458f-a970-32d0ec6d393e,i3.16xlarge,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,134554.0,0.0,USD,5.12,Hourly
21148a1c-617c-42c0-9d8d-99106d207efd,i3.16xlarge,Linux with SQL Server Standard,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,139599.0,0.0,USD,5.312,Hourly
8981195b-6b07-4074-8231-88ba6b210997,i3.16xlarge,Linux with SQL Server Standard,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,139599.0,0.0,USD,5.312,Hourly
644adbdb-86a1-48e1-86ce-392cd2ae8e3e,i3.16xlarge,Linux with SQL Server Standard,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,265071.0,0.0,USD,0.0,Hourly
6c49a35b-82de-4f59-bb91-7ca1a3e80ea4,i3.16xlarge,Linux with SQL Server Standard,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,265071.0,0.0,USD,0.0,Hourly
8617b092-a397-44fc-b853-5191486daa71,i3.16xlarge,Linux with SQL Server Standard,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,277651.0,0.0,USD,0.0,Hourly
ebe71a6f-f411-41ca-a439-c2c0b61a8b25,i3.16xlarge,Linux with SQL Server Standard,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,277651.0,0.0,USD,0.0,Hourly
78997ccd-eb5a-46e1-ba93-abb3ec362152,i3.16xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,348999.0,0.0,USD,13.28,Hourly
fd07197a-c6f0-4b5e-a18e-56d66e27f188,i3.16xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,348999.0,0.0,USD,13.28,Hourly
271ba8fc-7a63-4742-8954-cac737b86d60,i3.16xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,354044.0,0.0,USD,13.472,Hourly
a642ef5b-00c9-4b4a-9d95-5be2deaabf1a,i3.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,354044.0,0.0,USD,13.472,Hourly
6c7fdcb8-1be5-4ee7-b8de-f94309c8a770,i3.16xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,693961.0,0.0,USD,0.0,Hourly
b8ee9fbd-d07d-4950-9a6c-7f3bed3e71f8,i3.16xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,693961.0,0.0,USD,0.0,Hourly
2c8b063c-8680-481b-a357-4f06d5786139,i3.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,706540.0,0.0,USD,0.0,Hourly
fe252c66-caab-4e53-a25f-44ae4c7f1408,i3.16xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,706540.0,0.0,USD,0.0,Hourly
1ed540bd-627b-46fe-bd3c-58313ff2d871,i3.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,4.482,Hourly
224f4519-e72c-422e-a544-0779b0eb437d,i3.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,4.612,Hourly
353545c7-40fe-4a2d-b110-bd9ebf32526b,i3.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,28.482,Hourly
3a13e653-7ee0-452a-9c1c-fd8d723f0541,i3.16xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,4.515,Hourly
5f4cbd70-5cdd-4cc8-b678-e599540e194b,i3.16xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,5.564,Hourly
6172879e-fcb9-4f97-a118-e48420f1c00f,i3.16xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,4.482,Hourly
75ba76ab-bfbe-4fc2-ac4a-b92d594df10e,i3.16xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,12.162,Hourly
811c2e30-ce4a-415a-82af-8a5c89f774d3,i3.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,28.482,Hourly
8d5e1477-4c4e-4cb6-9e1e-6aa5d4442160,i3.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,4.612,Hourly
92748734-bd62-45bf-b9cf-3f72efb7be59,i3.16xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,12.162,Hourly
