ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
05965479-3176-44cf-8df4-0a6821c5f71a,i3.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.109,Hourly
275d9746-ffc4-41d2-a28a-95f6e175a792,i3.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.579,Hourly
2e323229-4f59-4a89-9d3f-3a078cec73df,i3.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.167,Hourly
38e1624c-e66d-410a-9871-fd7611a27bf3,i3.large,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.142,Hourly
484894b3-5124-4c64-a2c5-aa687eeb6078,i3.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.159,Hourly
5d4ac612-0575-4b54-94d3-2c546085c416,i3.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.589,Hourly
64c2c0f3-bfbf-4500-83a6-c3d11b48c673,i3.large,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.132,Hourly
69203cce-d0f6-409b-9eeb-1b5ed487fa65,i3.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.169,Hourly
afa8ec8a-c857-4542-af56-d8eb7c3c7c7e,i3.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.177,Hourly
ce3b1d0f-1ae2-4736-94e6-fd5926d37290,i3.large,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.099,Hourly
1e622821-48e4-4ba1-b4c0-bcfeffbb298f,i3.large,SUSE Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.128,Hourly
2b4b848e-9abd-4342-8ee2-440ad0c9b163,i3.large,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.119,Hourly
36c16d3b-ca40-4fe0-a295-24f6424430c0,i3.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.155,Hourly
385c70ed-e22b-4cbb-95bb-28a5e9db4b5a,i3.large,Linux with SQL Server Standard,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.566,Hourly
4b1b63b7-6da3-4a0f-8ed3-7bb98bfc35e1,i3.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.163,Hourly
5b9dfffc-4937-4312-a1a9-2b58a0f2cf56,i3.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.575,Hourly
780abce0-70b4-48da-9300-f83fc52e89b1,i3.large,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.086,Hourly
826e4e5a-e810-42e1-b84e-045fc8e0d05b,i3.large,Linux/UNIX,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.095,Hourly
8c205347-d2c0-4bf2-82e7-4c3ec0936e5c,i3.large,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.154,Hourly
976a0753-44b6-4af0-8dcf-9d77d1e46a06,i3.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.146,Hourly
605bcb89-a40f-4449-bbdd-2ae0bca9927a,i3.large,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1047.0,0.0,USD,0.04,Hourly
68bc7d00-df5d-4b23-9561-85f3376f4d7c,i3.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1047.0,0.0,USD,0.1,Hourly
4f38a2df-423e-4029-bd6d-95d37a66d6ff,i3.large,Linux/UNIX,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1151.0,0.0,USD,0.044,Hourly
d6af26c5-e6d7-4e6c-a7bb-14d1eae65916,i3.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1151.0,0.0,USD,0.104,Hourly
027e8da4-86fa-47a4-8a89-1ebde8b91089,i3.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1209.0,0.0,USD,0.106,Hourly
79d947e7-6d9d-4af0-a46b-ca2ceddf25c2,i3.large,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1209.0,0.0,USD,0.046,Hourly
66586490-00bc-4958-bf00-4ae75dcdabec,i3.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1330.0,0.0,USD,0.111,Hourly
ee21deb5-a479-40af-961e-73e28e57dd4e,i3.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1330.0,0.0,USD,0.051,Hourly
179ffe2e-ba9e-48d5-a415-6020f7a318b1,i3.large,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1399.0,0.0,USD,0.053,Hourly
1db0439c-70b9-49e0-bc27-f99e5b236c25,i3.large,SUSE Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1503.0,0.0,USD,0.057,Hourly
a124067a-b895-4316-a525-62cdedc7b473,i3.large,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1561.0,0.0,USD,0.059,Hourly
8860e31e-06de-4141-aa17-509f4b6854fd,i3.large,SUSE Linux,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1682.0,0.0,USD,0.064,Hourly
65956607-c15b-4f58-b242-f7050adf3acb,i3.large,Linux with SQL Server Web,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1939.0,0.0,USD,0.074,Hourly
27b5a683-cc4c-490b-ab03-98036826da18,i3.large,Linux/UNIX,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,1968.0,0.0,USD,0.0,Hourly
1a70dce5-af6d-434d-a9ca-79e331ba6935,i3.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,2045.0,0.0,USD,0.078,Hourly
f3fd951b-61e5-42c3-91ea-a1178451fd91,i3.large,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,2097.0,0.0,USD,0.08,Hourly
feb6a1e6-aafc-41c9-865e-439af13a0b62,i3.large,Linux/UNIX,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,2164.0,0.0,USD,0.0,Hourly
