ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
013dfb4f-1737-46ca-9ad9-e2023288a7da,i3.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.259,Hourly
01c8ff8d-e066-435c-a5cf-fbf3549c8387,i3.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.219,Hourly
212f0605-c404-427b-843e-ea4d46cb1a36,i3.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.199,Hourly
257444ec-f13d-4e3e-ab68-de684ef6fcde,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.719,Hourly
2bd9efc7-fc2f-4f90-b673-53393ac7f82d,i3.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.266,Hourly
30061051-d9dc-4fbd-bb58-560fb0cb9b44,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.699,Hourly
4afeb84e-12e0-49e6-afac-4e14bf80fb0c,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.279,Hourly
4c43f61e-ca34-4c68-9a64-ec887d2ff0a1,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.286,Hourly
7349fd5f-a8e4-4a7e-ae1f-6663550eb78d,i3.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.679,Hourly
971272d8-aa3a-4d8b-903d-897f5d854ba9,i3.xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.232,Hourly
b9903cb3-4767-4d29-bab0-a69dcfcd1899,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.699,Hourly
fc65b0ff-3fd2-4cc8-a890-8570dd900fd9,i3.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.252,Hourly
