ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
07751492-9312-4c5c-b80a-43a268cdfffe,m4.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3591,Hourly
0fbf51e7-a1d6-4ec8-9679-6911f9e87843,m4.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3336,Hourly
1807e4a0-d59e-44d1-b5b2-61ff635d5bdd,m4.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.1839,Hourly
1cd676bb-8337-4d87-8630-ca84c4cafc07,m4.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2239,Hourly
1ea8c175-2465-4edf-bb04-4d70d4fa3a82,m4.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2569,Hourly
24523d48-ff41-46a5-a0c5-98f7b804a675,m4.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.1636,Hourly
8ab16309-ffbc-4a53-9e0d-5ceb0ffcd485,m4.2xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2036,Hourly
92dac333-ead6-49ba-bb3f-dad5812f91f3,m4.2xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2366,Hourly
aee872cf-b408-4072-b439-fba4c3c0a2fa,m4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.2239,Hourly
b69a63af-0afe-48d1-a180-23df4f5dc35e,m4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3539,Hourly
bb3e6b07-4258-45cb-97bc-b8fc3ee686b0,m4.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3388,Hourly
d8f3c723-c8bc-431b-a681-93c246192d2e,m4.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.2036,Hourly
012053ec-4463-4b2f-9682-52f5455d4bd8,m4.2xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3247,Hourly
01f8108e-c47d-4897-bcc0-a16de85a1ad7,m4.2xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.137,Hourly
0b57aea7-65f2-462f-a6c4-f911dd930055,m4.2xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2277,Hourly
17a4766d-7d25-4e06-a94c-f41b23a04913,m4.2xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1947,Hourly
1d2d3c54-6ef0-48b9-9d97-d4ed182b0746,m4.2xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3299,Hourly
23fdb1e8-17e1-4c54-a2e1-c48692cf3e3c,m4.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.177,Hourly
45a5e6f8-0c00-4408-9c77-0c3fdde8c88d,m4.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3122,Hourly
661f8b56-2439-445e-bea4-7f8ee9810179,m4.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.307,Hourly
89c9025e-fcb3-4b90-a4f2-cb6205f1e3fa,m4.2xlarge,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.177,Hourly
a6a0c4c4-0b8a-4bd5-b48c-9464c61487bb,m4.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.1947,Hourly
b0bfcaa6-9ca1-445a-991f-c11ac761c776,m4.2xlarge,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.21,Hourly
f25496af-5c03-424a-a147-b23f3d0683f0,m4.2xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.1547,Hourly
79138c5c-9fa5-41f7-934e-8915a83b04e8,m4.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,2154.0,0.0,USD,0.212,Hourly
97b8e6e0-1c71-4634-a354-6770f36d6811,m4.2xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,2154.0,0.0,USD,0.082,Hourly
