ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
100dee8b-6cfd-4244-89bc-b61aef1bf931,m4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.592,Hourly
1896d508-dd01-4c4c-8ab4-48d804bb2b9b,m4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.145,Hourly
2e10ba4e-3dc2-4669-9b72-85211fe8f006,m4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6018,Hourly
31286c77-972d-4c93-917a-31cca51f9852,m4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1796,Hourly
39706d43-3573-4554-af4b-a856a96eee70,m4.xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1348,Hourly
84ac8626-ee45-4e95-a235-e7eb669d3be0,m4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1618,Hourly
85c22ee1-6085-45c5-ab0c-8dafc6881d58,m4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5818,Hourly
894552b1-0700-4ac3-840c-fff1e2226b27,m4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.112,Hourly
9b28511c-32e4-496b-887c-b189ac3262f6,m4.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1018,Hourly
9ba7bd5a-5e26-4bcb-aad3-5a429e659ea3,m4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.172,Hourly
9eadeb4a-6dc0-4250-92df-aa35e7feb116,m4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1694,Hourly
ea3c2890-6c0c-423d-be0f-2d9ee6488233,m4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.612,Hourly
148cc3f5-a11e-4504-be45-dd76adfb39e7,m4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1485,Hourly
26d970fe-b6bc-4ccd-a173-85145e347965,m4.xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1304,Hourly
3032a812-e272-46ad-99c0-19189105707e,m4.xlarge,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1215,Hourly
3e909823-8cbf-4551-b117-5971fb965cd2,m4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1561,Hourly
4eb1a445-2c9b-44d6-a62f-95d387a92ad7,m4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5774,Hourly
