ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
15a594f6-6bab-48f7-9ce2-c163a4bdc0e3,m5.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.117,Hourly
1afa36a1-3c99-4111-b613-647909573fd9,m5.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.111,Hourly
349f4a8c-bb53-49f1-861c-046ce64748c4,m5.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.118,Hourly
35b1685f-2357-4cd2-b013-aa177a4c98cc,m5.large,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.084,Hourly
55f47f0e-7728-4d36-85eb-86b50fe7b801,m5.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.531,Hourly
7b5da4ae-aea4-4a99-9bc1-357470c32180,m5.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.125,Hourly
a618a6e1-f528-4fba-a375-3fc32d9069b5,m5.large,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.09,Hourly
c5aa6cf8-6db7-484b-ba74-0f9d4753a2a4,m5.large,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.051,Hourly
de99c2d4-7fa0-4cf3-aab2-810fa504c94b,m5.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.537,Hourly
ffbcc582-d3aa-4b84-9d08-2f94aa11dd58,m5.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.057,Hourly
1107a0be-16d8-404c-8665-d4d944066abf,m5.large,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.044,Hourly
425508e1-c318-4b85-8408-9b85cce6d866,m5.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.118,Hourly
54ce1d5e-d93d-4c33-936a-ad2a28602451,m5.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.53,Hourly
8a58f84b-ba76-47da-a827-e7c5df53f675,m5.large,SUSE Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.083,Hourly
aab03bce-fc37-4c66-ae4d-7b9b0ec03e26,m5.large,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.077,Hourly
bb9d5424-6aae-46a3-b87b-99b2962259c2,m5.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.11,Hourly
