ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
42008046-6442-4f64-b0ff-953435ec9d30,p2.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,16.859,Hourly
48fb967c-81f2-4656-a8ac-42c13317c043,p2.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,16.989,Hourly
6cdba1f8-3381-4263-b9c6-8020856f3009,p2.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,16.892,Hourly
81a0d228-0b49-4d22-ac08-7ec691257aac,p2.16xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,16.892,Hourly
be563293-51e1-40cd-ac12-ba53f20a276f,p2.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,40.859,Hourly
cc4ee68b-2d5f-47dc-a484-f5b2dc401c9c,p2.16xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,16.859,Hourly
f77ad5a4-dc3b-4039-a009-c047f59a853f,p2.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,40.859,Hourly
f7fd2719-95d9-4ef5-99e7-c1f1c75a7580,p2.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,16.989,Hourly
00a8a0e0-41c8-4653-8159-2e445dac5380,p2.16xlarge,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,14.693,Hourly
0f188e0e-7aa4-4636-bff4-856a19dff305,p2.16xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,14.79,Hourly
