ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1e16670a-f5dc-4420-a68e-b3646202c39b,p2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.192,Hourly
3e45a9e4-9ea3-486e-b571-a717b56d5270,p2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.114,Hourly
4bad18f7-235f-4cb3-8cc9-495d00905ec3,p2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.159,Hourly
8682ecdf-600a-42d9-9376-4249af5e38c4,p2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.054,Hourly
cb94e796-cc47-44d2-903e-4314916eedf2,p2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.087,Hourly
f6af6220-779e-4460-9849-7930abee593b,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.219,Hourly
2e80f15a-c10e-49f7-a4ff-6910a5ded154,p2.xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.041,Hourly
307ce2ea-19a8-4180-9b2f-b55eca3c6a4f,p2.xlarge,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.949,Hourly
45997660-a737-4be5-9220-fb71756e63f4,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.068,Hourly
4e246010-3a41-4ef0-a3b9-37b198e8cddc,p2.xlarge,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.916,Hourly
5e24afaa-b45d-4936-a84f-bee85146df9a,p2.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.008,Hourly
c0a186c2-87bf-47e7-9a73-1881bd4cf74e,p2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.976,Hourly
1fb4ff28-cffe-4d43-a4d4-1575d863503c,p2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,11148.0,0.0,USD,0.424,Hourly
99692291-e865-4635-a3b7-5982ee997492,p2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,11148.0,0.0,USD,0.484,Hourly
2559be0a-2020-41a4-a56a-ef0d2e8d3ba0,p2.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,11500.0,0.0,USD,0.437,Hourly
706a5170-2d17-44c9-b338-082380aeb63c,p2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,12263.0,0.0,USD,0.467,Hourly
a307102a-1144-4e75-b877-eb967ce44587,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,12263.0,0.0,USD,0.527,Hourly
42e02b68-7f7f-4bb1-9a52-78496ce0fc8e,p2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,12615.0,0.0,USD,0.48,Hourly
0ff07ffb-df94-4eae-827c-e9aa3c78bce6,p2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,12820.0,0.0,USD,0.488,Hourly
aadb918a-e29f-4a63-98e0-dc0e76e883bd,p2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,12820.0,0.0,USD,0.548,Hourly
cbca492f-e24c-481e-ab06-0a80e74c5185,p2.xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,13172.0,0.0,USD,0.501,Hourly
2f52c4d2-2568-4780-b2d0-056821724605,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,14102.0,0.0,USD,0.597,Hourly
cd0380be-7606-4aef-a065-b3812f22f610,p2.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,14102.0,0.0,USD,0.537,Hourly
f5466c99-8b39-4dc1-b308-b5b0c9a33d51,p2.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,14454.0,0.0,USD,0.55,Hourly
b834d816-06ee-473b-971f-253cc230b870,p2.xlarge,Linux/UNIX,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,20958.0,0.0,USD,0.0,Hourly
038a259f-1f27-4460-8080-e39ea549d350,p2.xlarge,SUSE Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,21652.0,0.0,USD,0.0,Hourly
5506b012-212e-42b1-b5cc-3e0629980bdc,p2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,22535.0,0.0,USD,0.0,Hourly
3a5bbe49-5216-406d-ab51-b2c0cd10b79b,p2.xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,23054.0,0.0,USD,0.0,Hourly
d1b760e3-18dd-489b-b973-e3e229daf495,p2.xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,23748.0,0.0,USD,0.0,Hourly
558809a1-c490-46c1-8c20-ea0003d445f7,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,24631.0,0.0,USD,0.0,Hourly
8efa519f-9749-41d5-8ff3-93f841fd17b8,p2.xlarge,Linux/UNIX,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,25128.0,0.0,USD,0.0,Hourly
c63bfc55-cd21-4ac6-8c07-fd43ff89f076,p2.xlarge,SUSE Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,25822.0,0.0,USD,0.0,Hourly
4aee3d07-cb58-4998-b33d-e37ddd59652e,p2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,26704.0,0.0,USD,0.0,Hourly
9cc53048-f012-4191-9a14-3f15857af66e,p2.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,27640.0,0.0,USD,0.0,Hourly
b33ddf77-25bc-497f-bd2e-04c82f8d2dad,p2.xlarge,SUSE Linux,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,28334.0,0.0,USD,0.0,Hourly
3bd392eb-71b3-4327-9556-5d3143c3cb33,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,29217.0,0.0,USD,0.0,Hourly
0b0a4388-7cdc-43bb-bf9e-f7151d085bb6,p2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.485,Hourly
240751ad-14a2-4c8d-bf0a-5645649cb948,p2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.633,Hourly
360cc275-5fea-4a21-9355-86a724588580,p2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.545,Hourly
4ed5e1cb-3bcf-4a4d-8c30-107913c7beda,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.693,Hourly
659e899e-9a1b-480d-841e-f2ad04cf96ae,p2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.666,Hourly
dd1227f7-4c5b-4b4d-b818-26ba42b04c75,p2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.518,Hourly
37d44ff1-c826-41a5-af2d-775f61989d9a,p2.xlarge,SUSE Linux,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.324,Hourly
3cd524d9-0c2e-428d-84a1-259943b09225,p2.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.42,Hourly
6c15a294-2b40-4e0b-be36-9b7c0875de41,p2.xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.453,Hourly
71eff7f3-fbb2-4387-b158-0688f7420db7,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.48,Hourly
76846c01-6e9d-45f9-98ea-fe6c2873bb81,p2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.351,Hourly
db6d9e29-63df-40be-828e-4a1e79d4dd46,p2.xlarge,Linux/UNIX,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.291,Hourly
719bf0dd-a34d-40c9-bfe4-64c80ca9ce55,p2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,5386.0,0.0,USD,0.675,Hourly
9b4b9b8e-bf19-4447-83cf-7dab073bf15a,p2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,5386.0,0.0,USD,0.615,Hourly
20c214b4-71ea-4ffc-af2f-19ebe9ca32ba,p2.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,5562.0,0.0,USD,0.628,Hourly
974ad65a-9808-4152-83c2-289e8ed85d15,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,5925.0,0.0,USD,0.736,Hourly
d39824fb-7096-4288-aa76-4ba28a08680f,p2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,5925.0,0.0,USD,0.676,Hourly
eefd0635-ae61-4307-817f-1c4f82707f06,p2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,6101.0,0.0,USD,0.689,Hourly
34310e02-46f1-48e5-a646-a3c14be133e5,p2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,6194.0,0.0,USD,0.707,Hourly
8e807830-e8ee-43bc-a5a7-373aea67208b,p2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,6194.0,0.0,USD,0.767,Hourly
18cc53c0-d54d-4964-b740-f32d36583f88,p2.xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,6370.0,0.0,USD,0.72,Hourly
e8a0d18f-eb5a-41fd-9128-90a55cc4ff77,p2.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,6813.0,0.0,USD,0.778,Hourly
fe381446-532e-4e3f-814c-48327327f253,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,6813.0,0.0,USD,0.838,Hourly
c644f188-6c55-4b33-9b78-4949e9664bd9,p2.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,6989.0,0.0,USD,0.791,Hourly
47be33f9-b4d6-4e5b-b578-c212e7782d7b,p2.xlarge,Linux/UNIX,default,standard,All Upfront,ap-south-1a,31536000,Availability Zone,0,10557.0,0.0,USD,0.0,Hourly
db06b5a5-6e08-4609-baf4-9e9365eab4a6,p2.xlarge,SUSE Linux,default,standard,All Upfront,ap-south-1a,31536000,Availability Zone,0,10847.0,0.0,USD,0.0,Hourly
33a46415-3343-468b-874b-6a85a40b9108,p2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-south-1a,31536000,Availability Zone,0,11082.0,0.0,USD,0.0,Hourly
a7e26ac8-3dc7-434a-819b-77a921b37ea2,p2.xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-south-1a,31536000,Availability Zone,0,11612.0,0.0,USD,0.0,Hourly
512089a8-e39b-4fdd-8465-96fb95cf0f8b,p2.xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-south-1a,31536000,Availability Zone,0,11902.0,0.0,USD,0.0,Hourly
ecd1afe8-11d7-440e-a442-c64de60db8ca,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-south-1a,31536000,Availability Zone,0,12138.0,0.0,USD,0.0,Hourly
35e0c9a3-19d7-47ad-82d4-9a303595d3dd,p2.xlarge,Linux/UNIX,default,convertible,All Upfront,ap-south-1a,31536000,Availability Zone,0,12140.0,0.0,USD,0.0,Hourly
c7ee70d0-f051-4b10-b155-75cc6064c378,p2.xlarge,SUSE Linux,default,convertible,All Upfront,ap-south-1a,31536000,Availability Zone,0,12430.0,0.0,USD,0.0,Hourly
e503c178-f1d7-42a2-9a47-c837a6f5da90,p2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-south-1a,31536000,Availability Zone,0,12666.0,0.0,USD,0.0,Hourly
656ecce6-dc1b-4715-ad80-e6700d076d24,p2.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ap-south-1a,31536000,Availability Zone,0,13354.0,0.0,USD,0.0,Hourly
