ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1475edaf-5ff4-4148-a149-2ea60b9d6eda,r4.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.7309,Hourly
1764a56f-5e20-47d1-8aa5-b4d8fd860cd9,r4.4xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.5209,Hourly
284f6bcf-f083-47c3-81aa-ad3be4350886,r4.4xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.8167,Hourly
2f993364-4b36-487c-b9be-341a9b910b59,r4.4xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6009,Hourly
5205405f-9bff-40f2-95b6-918100c060ee,r4.4xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6339,Hourly
8536ee0a-562b-4071-a71a-5dcfdcf5b87a,r4.4xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,6.6009,Hourly
9d6c1945-1cbe-427c-a159-0ec08ec54ce3,r4.4xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6763,Hourly
b9fe649d-d643-4ba3-81e0-b8ace3122181,r4.4xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.4663,Hourly
c4dd3c1b-ddbc-488d-ab5c-d33def63997e,r4.4xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5463,Hourly
d193cb9c-153a-45be-a802-7a09956263ab,r4.4xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5793,Hourly
e421d5fa-832c-40bc-ac61-db798fa3e6e9,r4.4xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.8713,Hourly
fc1fbdf5-b29a-4c9c-9acc-b5483d3e170a,r4.4xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,6.5463,Hourly
06bdaaea-d5da-42a6-8f62-9360f21ee6a7,r4.4xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,6.5225,Hourly
508be283-4893-49d9-9119-16c28b82f346,r4.4xlarge,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.508,Hourly
