ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
02524697-90a8-4c96-b67b-c6c72fab2782,r4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1427,Hourly
02884863-d76a-48d8-8a0b-82fb5ee2cf63,r4.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0751,Hourly
2356d00b-c1cb-4abe-968e-af52c0641659,r4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1351,Hourly
37043e6f-e457-4bad-9bf9-91e43f1e76fb,r4.large,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1013,Hourly
53ffb33a-abca-4319-9d05-1319fa65f7d7,r4.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1359,Hourly
7e723208-f0ef-46e7-abaa-77d4b7fa9d73,r4.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5483,Hourly
88640d2c-2b17-4b58-a101-5f3ce480cf81,r4.large,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1081,Hourly
8a4921b4-8b7d-4bd6-9c5e-6603d138f44c,r4.large,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0683,Hourly
8f33c8bb-0d90-42d6-b9b1-e3c0fc255fbd,r4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1283,Hourly
c0b6e9b1-d39f-46c4-814f-ca90eaebf428,r4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5551,Hourly
03c791bc-3285-4de4-bc85-4b6080b6645e,r4.large,SUSE Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0983,Hourly
0f156cf2-7854-4b6e-b214-f2b76e08a8c5,r4.large,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0594,Hourly
12f71dbb-8748-44ee-abd6-48a208c7066e,r4.large,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.127,Hourly
1c810bfe-baae-4ac8-a4cc-391103c5b285,r4.large,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0924,Hourly
4ebc2a2a-4ff3-4088-9b62-59eaec0bc5f8,r4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1253,Hourly
52635409-517e-417e-8be1-217faea5edcd,r4.large,Linux/UNIX,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0653,Hourly
5ca9aaac-f643-4a4c-8c76-f14a874de1c5,r4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5453,Hourly
8afb0f5e-8c4f-4551-9ede-9d1746b2a62b,r4.large,Linux with SQL Server Standard,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5394,Hourly
bb9835d6-530d-4756-b92d-aedace392810,r4.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1194,Hourly
f4e5ab11-04dd-4c77-a261-964d6ff4b56e,r4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1329,Hourly
9c06c25b-0c1a-4eba-91ce-80f9e4ea79ba,r4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,722.0,0.0,USD,0.0875,Hourly
d6aa07ab-c061-4df9-ad38-c24d47c19efe,r4.large,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,722.0,0.0,USD,0.0275,Hourly
0f57193f-3633-4005-99fc-b801ecb990eb,r4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,795.0,0.0,USD,0.0902,Hourly
7cc82fde-ab26-4cb0-9328-303a4b2e6a62,r4.large,Linux/UNIX,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,795.0,0.0,USD,0.0302,Hourly
53a55368-7927-4475-83f4-b252c8248ccb,r4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,831.0,0.0,USD,0.0916,Hourly
ffeb1dd5-c8eb-4018-be99-eea860952346,r4.large,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,831.0,0.0,USD,0.0316,Hourly
4df1ab72-43c3-4b4a-9a28-41ceae5ae269,r4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,914.0,0.0,USD,0.0348,Hourly
