ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
16cdb180-fd9a-4834-a56c-c8c2e3aa3904,r4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6166,Hourly
1fd2c135-4e21-401b-983c-50a57e870b36,r4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2042,Hourly
2029518a-5464-4ba5-9c5f-3884480fab4e,r4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1502,Hourly
2819a55a-eba4-4bf2-a6a4-40f47583312b,r4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6502,Hourly
444ec19e-692f-4662-9b90-237b26e9f5ca,r4.xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1696,Hourly
aaa60e6c-dcb3-4e00-8966-8f466b53592b,r4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2178,Hourly
b5ae0572-351b-4781-a16a-f39ab295e864,r4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6302,Hourly
c3ed76a5-0517-4681-884c-971bec1670cf,r4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6366,Hourly
d7406cf5-5c5f-41b3-b8c3-12066e8cd0a4,r4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1832,Hourly
e58526da-daec-45f9-9232-6a192728ac4f,r4.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1366,Hourly
eecc7321-a755-4fff-83e7-35ccf6a418b6,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2102,Hourly
fbd23ff5-40e6-4999-8b61-ceb3f7edafd7,r4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1966,Hourly
0f5d5214-17fb-4369-bc24-b88e5fcdab8e,r4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1864,Hourly
2cd47121-72d8-4d40-b3ce-36ec43f45f6d,r4.xlarge,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1188,Hourly
3d5163a1-08d6-4135-a7e8-6384f20f96b5,r4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5988,Hourly
589d411a-35e5-4b26-bb34-a2a237000200,r4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1906,Hourly
64c0d12f-ef1f-4d8f-9268-1e260562c4f8,r4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6106,Hourly
7549ac14-751b-4127-b8c3-c70f84ca1e5e,r4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1788,Hourly
860d49e0-77e6-4cdc-bdf8-97c633892f9d,r4.xlarge,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1518,Hourly
93a91e09-90bb-423c-9032-fc150422a871,r4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6306,Hourly
b357ac37-b176-494f-97ac-9788b1f2910e,r4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1982,Hourly
c2b95089-876c-42ed-8d58-07da0f4dec89,r4.xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1636,Hourly
f08fb5df-b765-4ff7-8d2c-de546770d7c2,r4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6188,Hourly
fc6158f3-4e91-48c1-b859-35b82a6f973c,r4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1306,Hourly
11b25e04-ec12-498e-942a-acd76a858d05,r4.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1445.0,0.0,USD,0.055,Hourly
b8380eff-be32-46bc-adda-56c0c9ccc571,r4.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1445.0,0.0,USD,0.115,Hourly
04c79ba0-2d76-4678-9c37-ba37afab116f,r4.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1589.0,0.0,USD,0.1205,Hourly
6ba23aca-32a7-4408-af05-30f56d34a2b2,r4.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1589.0,0.0,USD,0.0605,Hourly
56262995-b0a2-4642-80d3-cdc1f2bef2e1,r4.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1662.0,0.0,USD,0.0632,Hourly
ef819dcb-cfdb-4c0f-8cbb-7480b6c7a24d,r4.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1662.0,0.0,USD,0.1232,Hourly
e3e4e89f-d187-4ed7-9a0b-f161deb4b2cf,r4.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1797.0,0.0,USD,0.068,Hourly
aa26686c-d41e-4425-8d87-80f114035eb3,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1828.0,0.0,USD,0.1295,Hourly
c6bf19a9-14b0-4fd3-8386-179d86930adb,r4.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1828.0,0.0,USD,0.0695,Hourly
ee0d80bd-03b6-4407-bf7e-17fd8216fd31,r4.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1941.0,0.0,USD,0.0735,Hourly
346d1934-2ff6-4163-a212-ae629a086126,r4.xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,2014.0,0.0,USD,0.0762,Hourly
5336b5ba-29f9-4aff-9217-b62b0542c159,r4.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,2180.0,0.0,USD,0.0825,Hourly
0aa51f29-b8e5-4820-9f1e-320d4b8b1296,r4.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,2333.0,0.0,USD,0.0888,Hourly
e8302b7f-df73-4ddc-a324-5feae466e8f2,r4.xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,2478.0,0.0,USD,0.0943,Hourly
d30534ee-f265-4d43-b873-2075629fe423,r4.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,2550.0,0.0,USD,0.097,Hourly
