ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
664faad8-2cd0-40c3-bdf3-d6e0ba430b11,t2.large,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0481,Hourly
6cbda5be-31d8-4db2-acda-3acbe5374620,t2.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1157,Hourly
c4b9e1ed-7ccb-4f8e-82f6-f990912e33b2,t2.large,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0811,Hourly
e70a1e9e-76b3-4789-ac20-b9005ea7e8b9,t2.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1081,Hourly
2c26ca79-47ff-4832-8fe8-396f2ed3afa1,t2.large,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1094,Hourly
607a669a-dc88-4a25-a0b6-fe1b09255a7f,t2.large,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0418,Hourly
879e1d38-5e2b-44cd-b919-52697c4143b7,t2.large,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0748,Hourly
aa53f38b-653a-4396-80b1-11d2f6a4d050,t2.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1018,Hourly
4ded3639-24fa-4f79-a911-c424fd1c7775,t2.large,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,509.0,0.0,USD,0.0194,Hourly
4e5939df-6c68-4cf0-8e41-727e7c15932d,t2.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,509.0,0.0,USD,0.0794,Hourly
1c91a7f2-1163-4349-8d0b-21f49c09f209,t2.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,585.0,0.0,USD,0.0823,Hourly
dde65671-f2d5-41c1-871b-618c1d0b84a7,t2.large,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,585.0,0.0,USD,0.0223,Hourly
3a06deb1-b7fd-4fd3-8cbd-688b0486a4e2,t2.large,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,861.0,0.0,USD,0.0324,Hourly
e1f9edd9-dfcd-4e81-9cd3-b88370774abd,t2.large,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,937.0,0.0,USD,0.0353,Hourly
b2624d85-2088-46ad-a603-393e15d80d68,t2.large,Linux/UNIX,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,956.0,0.0,USD,0.0,Hourly
f2d96976-27cb-4c8b-9866-d1590a0ea15b,t2.large,Linux/UNIX,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,1147.0,0.0,USD,0.0,Hourly
9e8db602-cbe1-40d2-bedd-3fda71dd01cb,t2.large,Linux with SQL Server Web,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1397.0,0.0,USD,0.0532,Hourly
3992a4ae-b3c1-4cb1-bae4-3580baa93598,t2.large,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1473.0,0.0,USD,0.0561,Hourly
aba1b1d6-f3bd-4fc9-876a-bd3422aab4b4,t2.large,SUSE Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,1650.0,0.0,USD,0.0,Hourly
2d8076d8-24f5-436a-8ff2-775f88eaa3e4,t2.large,SUSE Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,1841.0,0.0,USD,0.0,Hourly
62e7a829-ad8e-45aa-be9f-c09afb25d124,t2.large,Red Hat Enterprise Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,2533.0,0.0,USD,0.0,Hourly
a992e855-f96d-4dea-a727-36825d11e348,t2.large,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,2723.0,0.0,USD,0.0,Hourly
02e1624f-5bc6-45ce-8a48-b79010f044aa,t2.large,Linux with SQL Server Web,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,2733.0,0.0,USD,0.0,Hourly
c5a1e1c9-fa3f-4184-b2b0-3426ad03a1dc,t2.large,Linux with SQL Server Web,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,2923.0,0.0,USD,0.0,Hourly
67203054-dbb1-495f-b722-445cfe08fdf2,t2.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1311,Hourly
6ed6ff75-a406-4c25-a934-1570ce59f3e9,t2.large,SUSE Linux,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1041,Hourly
8276a881-be82-4375-ab50-d92b6a4fb9b7,t2.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1387,Hourly
8e1e26fb-247b-449e-85b3-606ea5efc039,t2.large,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0711,Hourly
