ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
03de5e96-3363-4a98-a8c4-b0ef9b81402d,t2.micro,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.016,Hourly
97d78e72-194b-4c90-826d-7d52e6a4da3f,t2.micro,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.066,Hourly
b7d4aa26-88ed-440d-9d69-d551fad7bbc8,t2.micro,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.006,Hourly
e8c40d9d-cee0-4846-8725-ff78cc30117a,t2.micro,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0736,Hourly
3400f2b5-2a95-48de-b67c-748d9d3349a4,t2.micro,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0652,Hourly
5a39ba60-d5a3-48b4-9fb9-5aa1a1dd1787,t2.micro,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0728,Hourly
994a52f7-ea30-4b55-9411-e668ee5b0db0,t2.micro,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0052,Hourly
f577f371-fb0e-40c6-86ae-16aecc9cfb5a,t2.micro,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0151,Hourly
a06ca0bc-a38c-4c67-85ed-14bc66369b32,t2.micro,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,64.0,0.0,USD,0.0024,Hourly
b49a954b-595c-482f-be4e-dd9e6664972b,t2.micro,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,64.0,0.0,USD,0.0624,Hourly
40f293b0-4c57-4f67-a399-5c566cec57a8,t2.micro,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,73.0,0.0,USD,0.0028,Hourly
6cdb999b-84c2-46d0-8469-36cb68c5bcf8,t2.micro,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,73.0,0.0,USD,0.0628,Hourly
24a16709-a571-4c96-9138-f3c26a7b082e,t2.micro,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,118.0,0.0,USD,0.0088,Hourly
99afa85e-f718-414a-9386-2ae0047ed7b3,t2.micro,Linux/UNIX,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,120.0,0.0,USD,0.0,Hourly
d4300c72-156e-4721-b413-a260dd87ca3f,t2.micro,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,129.0,0.0,USD,0.0092,Hourly
81102439-8418-4210-af15-ae52c7ecc3db,t2.micro,Linux/UNIX,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,143.0,0.0,USD,0.0,Hourly
5f37f809-4368-479c-9d1c-eb5eff7e52c5,t2.micro,SUSE Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,341.0,0.0,USD,0.0,Hourly
beb0ef0d-e9f0-4856-bea0-f56fa51cd36c,t2.micro,SUSE Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,368.0,0.0,USD,0.0,Hourly
4691f13c-4e9f-4671-9178-c1c5b0447baa,t2.micro,Linux with SQL Server Web,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,952.0,0.0,USD,0.0362,Hourly
194ab6ec-ef46-49ae-a13e-0b5fcab28dd0,t2.micro,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,961.0,0.0,USD,0.0366,Hourly
