ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2e416cda-b5c1-4a5c-bbe2-3f65d3960095,t2.nano,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.003,Hourly
d257c9b5-6fc5-4e63-8c06-87726600463d,t2.nano,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0125,Hourly
145bd8ec-11bc-4265-a13a-98520f82d512,t2.nano,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0026,Hourly
61673b3b-7455-460c-944b-f3b8af17f786,t2.nano,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.012,Hourly
961fc5a2-bc83-4b73-9160-f5318af0a237,t2.nano,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,32.0,0.0,USD,0.0012,Hourly
550bc344-546c-4ed4-a4d0-5e39aa7c15b6,t2.nano,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,37.0,0.0,USD,0.0014,Hourly
db92aaa9-b4b4-41f5-94ba-c63596687d6d,t2.nano,Linux/UNIX,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,60.0,0.0,USD,0.0,Hourly
97b1fcc1-fb46-4eec-aa35-e4efe575abd4,t2.nano,Linux/UNIX,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,72.0,0.0,USD,0.0,Hourly
53aeaf36-b1bd-4968-a351-fd13809d8f05,t2.nano,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,81.0,0.0,USD,0.0074,Hourly
5d26138d-299c-41ec-9979-5d973069588e,t2.nano,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,86.0,0.0,USD,0.0076,Hourly
050a0c0a-1c96-4979-aa27-926dd85b08c8,t2.nano,SUSE Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,271.0,0.0,USD,0.0,Hourly
361ca776-f1bb-4dc5-a3c4-11151a7b3740,t2.nano,SUSE Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,285.0,0.0,USD,0.0,Hourly
63d4e077-bd05-428d-902a-8fb6caa4d5f9,t2.nano,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0044,Hourly
64271693-909e-4119-a294-100c1a8ed662,t2.nano,SUSE Linux,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0142,Hourly
3adab22f-b57e-45b9-8214-cc2142fe1518,t2.nano,SUSE Linux,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0135,Hourly
7bbb3e03-11aa-433e-aec9-c23e6909751c,t2.nano,Linux/UNIX,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0039,Hourly
f5696a99-c5dd-4dfc-9dcd-0d137ee893ca,t2.nano,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,16.0,0.0,USD,0.0018,Hourly
7cb5a9c2-71af-4d76-8f0b-dc829ea34213,t2.nano,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,19.0,0.0,USD,0.0021,Hourly
9f05cd0d-a32e-47a0-9a7c-d58537a3b6dc,t2.nano,Linux/UNIX,default,standard,All Upfront,ap-south-1a,31536000,Availability Zone,0,32.0,0.0,USD,0.0,Hourly
c92c1a87-f66a-4d6c-a615-920b4e7b26ce,t2.nano,Linux/UNIX,default,convertible,All Upfront,ap-south-1a,31536000,Availability Zone,0,36.0,0.0,USD,0.0,Hourly
d3390647-bfaf-4fa2-a3a9-57f3897fed6e,t2.nano,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,41.0,0.0,USD,0.0081,Hourly
08413e33-a303-48af-ab1c-6b116106c803,t2.nano,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,44.0,0.0,USD,0.0085,Hourly
d1b7e3c9-80ff-438b-b303-51763f7a0545,t2.nano,SUSE Linux,default,standard,All Upfront,ap-south-1a,31536000,Availability Zone,0,112.0,0.0,USD,0.0,Hourly
7839f6f1-0876-47b9-af9b-2363c986bd87,t2.nano,SUSE Linux,default,convertible,All Upfront,ap-south-1a,31536000,Availability Zone,0,117.0,0.0,USD,0.0,Hourly
5813e93a-c49b-41b2-94a6-dc3927f53147,t2.nano,Windows,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0053,Hourly
22a54c27-e65c-490f-9b8a-1bde3e539143,t2.nano,Windows,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0049,Hourly
fcd6804f-0d2d-4d61-8f1c-92a96431b617,t2.nano,Windows BYOL,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0026,Hourly
13a5d7c7-1f75-4818-adb8-5994905362dc,t2.nano,Windows BYOL,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,32.0,0.0,USD,0.0012,Hourly
56a8fda0-de61-42de-9f59-47d2f1513c57,t2.nano,Windows BYOL,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,60.0,0.0,USD,0.0,Hourly
cdc9dab8-2547-477f-9135-74e851d8eb12,t2.nano,Windows,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,62.0,0.0,USD,0.0024,Hourly
c430cdc9-6f95-40f3-9218-b5b68b51953a,t2.nano,Windows,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,67.0,0.0,USD,0.0025,Hourly
ad70328a-85d6-4c85-add1-c053e1e1a03f,t2.nano,Windows,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,120.0,0.0,USD,0.0,Hourly
5161ca2f-6540-42f2-99d7-3c39717bfc2f,t2.nano,Windows,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,132.0,0.0,USD,0.0,Hourly
722cdabc-ee87-4102-8a01-c83942a599e9,t2.nano,Windows,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0067,Hourly
8ac61ce7-2bed-4202-becd-991036efb614,t2.nano,Windows,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0062,Hourly
fc890a55-56c5-40ee-93a7-cb123569a35d,t2.nano,Windows BYOL,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0039,Hourly
e532e5be-f013-4e8c-9aaf-d360e12ee2bd,t2.nano,Windows BYOL,default,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,16.0,0.0,USD,0.0018,Hourly
56801cbc-951e-4cf5-99e3-5693f9ef74ac,t2.nano,Windows,default,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,26.0,0.0,USD,0.003,Hourly
09db7023-a8bf-481b-bb21-7a13ff05de20,t2.nano,Windows,default,convertible,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,29.0,0.0,USD,0.0033,Hourly
a4dedb2d-92ff-49eb-9b9f-eb82312b68ae,t2.nano,Windows BYOL,default,standard,All Upfront,ap-south-1a,31536000,Availability Zone,0,32.0,0.0,USD,0.0,Hourly
489e5cf2-004e-4e83-9f9b-96681f5769f9,t2.nano,Windows,default,standard,All Upfront,ap-south-1a,31536000,Availability Zone,0,52.0,0.0,USD,0.0,Hourly
ce828b35-59fb-4148-84f3-48dce38b5b72,t2.nano,Windows,default,convertible,All Upfront,ap-south-1a,31536000,Availability Zone,0,56.0,0.0,USD,0.0,Hourly
4bc95c4d-fbc8-4d35-9f33-9f92e49b7413,t2.nano,Linux/UNIX,default,convertible,No Upfront,ap-south-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.003,Hourly
e31a569b-0af1-4b2c-9057-17c07df032a5,t2.nano,SUSE Linux,default,convertible,No Upfront,ap-south-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0125,Hourly
625d82f8-82f5-477b-b8f2-459e8bdea2e6,t2.nano,Linux/UNIX,default,standard,No Upfront,ap-south-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0026,Hourly
88cecde7-8b43-44d2-a711-4f582e89255f,t2.nano,SUSE Linux,default,standard,No Upfront,ap-south-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.012,Hourly
9dcd1868-4088-4649-afc9-949ab331eae8,t2.nano,Linux/UNIX,default,standard,Partial Upfront,ap-south-1b,94608000,Availability Zone,0,32.0,0.0,USD,0.0012,Hourly
8721f7f1-2624-4a12-b5ad-d52f692e439e,t2.nano,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1b,94608000,Availability Zone,0,37.0,0.0,USD,0.0014,Hourly
c29c86f6-dc75-4338-8d3e-7c7c46f98d98,t2.nano,Linux/UNIX,default,standard,All Upfront,ap-south-1b,94608000,Availability Zone,0,60.0,0.0,USD,0.0,Hourly
85519c2b-e100-4818-895f-00dd675d2e1b,t2.nano,Linux/UNIX,default,convertible,All Upfront,ap-south-1b,94608000,Availability Zone,0,72.0,0.0,USD,0.0,Hourly
f13a8a03-ee68-4c44-a5e8-8d3e32d5cc03,t2.nano,SUSE Linux,default,standard,Partial Upfront,ap-south-1b,94608000,Availability Zone,0,81.0,0.0,USD,0.0074,Hourly
947e61d3-ba61-4c19-8f28-09411b86bb67,t2.nano,SUSE Linux,default,convertible,Partial Upfront,ap-south-1b,94608000,Availability Zone,0,86.0,0.0,USD,0.0076,Hourly
40414855-3a39-4a61-8e89-c430bd6bcea2,t2.nano,SUSE Linux,default,standard,All Upfront,ap-south-1b,94608000,Availability Zone,0,271.0,0.0,USD,0.0,Hourly
1f463443-74a2-4650-aa74-9be161d3412b,t2.nano,SUSE Linux,default,convertible,All Upfront,ap-south-1b,94608000,Availability Zone,0,285.0,0.0,USD,0.0,Hourly
03381448-e4c0-4719-8c6c-81d59755051a,t2.nano,SUSE Linux,default,convertible,No Upfront,ap-south-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.0142,Hourly
338a9a00-8055-4ef0-955f-72d237bea282,t2.nano,Linux/UNIX,default,convertible,No Upfront,ap-south-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.0044,Hourly
