ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
8fc1adca-45fa-46ba-a3c4-71ebe4dce2f4,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.072,Hourly
b8f19edf-532f-4032-94ee-bf1b527d11cb,t2.small,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0796,Hourly
c12a43eb-ff58-4f61-bdd5-b832e4cc9b37,t2.small,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.033,Hourly
f362114a-9d19-4f66-b2b8-7d91554940ab,t2.small,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.012,Hourly
71a829c4-07f8-490c-8368-1e7136075256,t2.small,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0105,Hourly
c0a157cb-00e3-46cc-b1b9-1741c3dd3731,t2.small,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0781,Hourly
d28249af-e9d0-4b4e-82c5-9d3d285aa191,t2.small,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0351,Hourly
fb611cdb-0ad7-4f29-93da-f9a5785c862e,t2.small,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0705,Hourly
7557061d-b66b-483c-a264-458de7fbf391,t2.small,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,127.0,0.0,USD,0.0048,Hourly
81aa8344-1f8c-443b-a70d-71ac23068da7,t2.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,127.0,0.0,USD,0.0648,Hourly
4353f532-3d5e-4b8d-b30c-0d81883834be,t2.small,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,146.0,0.0,USD,0.0656,Hourly
d37a3df7-bb2b-411e-b750-61bb50b288f3,t2.small,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,146.0,0.0,USD,0.0056,Hourly
57e930d8-bb0b-4462-a904-a4e9bfb999d0,t2.small,Linux/UNIX,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,239.0,0.0,USD,0.0,Hourly
85deedc8-f81f-444e-9010-de596e4f385f,t2.small,Linux/UNIX,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,287.0,0.0,USD,0.0,Hourly
09bfe521-b8d6-4f09-ba29-beed2afa9b1e,t2.small,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,324.0,0.0,USD,0.0186,Hourly
1262c258-a2d2-4d03-a792-0751064c0622,t2.small,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,346.0,0.0,USD,0.0195,Hourly
edd47751-99cd-4a60-89de-d31dea04ef14,t2.small,SUSE Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,796.0,0.0,USD,0.0,Hourly
adcefc5e-408f-43b7-8b47-97acbe18d8b1,t2.small,SUSE Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,851.0,0.0,USD,0.0,Hourly
5bb12915-8add-411e-a890-fa96ed26a28d,t2.small,Linux with SQL Server Web,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1015.0,0.0,USD,0.0386,Hourly
50192731-8a59-4df0-8adf-b963ad1b142b,t2.small,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1035.0,0.0,USD,0.0394,Hourly
0861d6c5-df12-4d36-94c0-8afa728b82ad,t2.small,Red Hat Enterprise Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,1816.0,0.0,USD,0.0,Hourly
ead2309b-342e-4c41-b0da-3351a3371c5b,t2.small,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,1863.0,0.0,USD,0.0,Hourly
0bd912b6-9c70-41c9-ab2e-4cd21acf609e,t2.small,Linux with SQL Server Web,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,2016.0,0.0,USD,0.0,Hourly
a00e4c9f-bf89-49d9-bdd5-05c8e32b743e,t2.small,Linux with SQL Server Web,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,2063.0,0.0,USD,0.0,Hourly
