ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
10988d15-287c-4c1a-8cd6-36f7547daccd,t2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1562,Hourly
2c72bdd5-0ee2-4e42-b5cf-321c505349a2,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.5962,Hourly
67a51cc1-47df-419c-9e96-89fc0a414f07,t2.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1638,Hourly
939d2efc-1688-403c-b871-fc9433b96e42,t2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0962,Hourly
e4e9963e-347e-4b00-a0fa-8851fdbbe371,t2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1292,Hourly
104aae7d-2627-4901-a119-5089199534d2,t2.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1512,Hourly
56786dc5-12ab-4dba-94d6-2d5956153dd5,t2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.5836,Hourly
73c467fb-4eaa-4c7b-916e-806f6cb9e357,t2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1436,Hourly
a2599d0c-d5b4-4de6-a038-08e0a19197f8,t2.xlarge,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0836,Hourly
ca45c9e5-b45e-478c-bbf7-dc2e39136efb,t2.xlarge,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1166,Hourly
6e2abff4-186a-4a17-887a-f0c33b7fddb0,t2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1017.0,0.0,USD,0.0387,Hourly
7d9ef36d-6d50-43fe-bc35-da5bed096357,t2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1017.0,0.0,USD,0.0987,Hourly
57ad40a1-0392-4a81-95d5-0a44ac2bd07e,t2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1170.0,0.0,USD,0.1045,Hourly
fa42e26c-b272-48b1-9177-701003e55822,t2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1170.0,0.0,USD,0.0445,Hourly
cc7b14c6-7bd3-4e08-b563-d3f72b488e93,t2.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1369.0,0.0,USD,0.0517,Hourly
72de54c0-7540-4a30-8612-b384386780e6,t2.xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1522.0,0.0,USD,0.0575,Hourly
31d78285-9639-411b-87f5-79a0f8b80642,t2.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,1906.0,0.0,USD,0.0725,Hourly
2a693afe-2d76-473c-b3d6-944414421988,t2.xlarge,Linux/UNIX,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,1913.0,0.0,USD,0.0,Hourly
92d4ae57-b2d5-4256-93e5-ba7bdda08e4e,t2.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,2058.0,0.0,USD,0.0783,Hourly
d892a9e8-9063-469b-8ccb-883cbc345169,t2.xlarge,Linux/UNIX,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,2293.0,0.0,USD,0.0,Hourly
29858e33-3c29-4166-86f2-7d12778b4329,t2.xlarge,SUSE Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,2607.0,0.0,USD,0.0,Hourly
a270e029-0ad7-4443-a68d-27e49b58318f,t2.xlarge,SUSE Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,2987.0,0.0,USD,0.0,Hourly
8658ab43-7712-49f0-847a-b3ab264df32a,t2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,3489.0,0.0,USD,0.0,Hourly
ea1682db-c663-4a8d-bf45-a7f71f096090,t2.xlarge,Linux with SQL Server Web,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,3689.0,0.0,USD,0.0,Hourly
1d1357c9-f836-422d-8bd9-048db9a78150,t2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,3870.0,0.0,USD,0.0,Hourly
913b5100-494f-4eaa-8ff3-c245f20b29af,t2.xlarge,Linux with SQL Server Web,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,4070.0,0.0,USD,0.0,Hourly
7a27553c-5246-45fb-a4a3-3b45f992233c,t2.xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,20727.0,0.0,USD,0.7887,Hourly
d1cdd2a8-3a3d-430d-b9f6-8c5431d1f0a9,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,ap-south-1a,94608000,Availability Zone,0,20880.0,0.0,USD,0.7945,Hourly
25d61c69-a288-4f90-85ec-039dc876fa5b,t2.xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,ap-south-1a,94608000,Availability Zone,0,41333.0,0.0,USD,0.0,Hourly
4879565b-b5b1-444d-a92c-b276b28d7876,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,ap-south-1a,94608000,Availability Zone,0,41713.0,0.0,USD,0.0,Hourly
72c8d4ab-3477-465a-91a5-d83a6e811f73,t2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1752,Hourly
9481df48-f6d3-4094-bd5d-e56850ff7e38,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.6422,Hourly
ccfb9e9a-774e-4ed0-8054-0282d3a14339,t2.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2098,Hourly
e877f289-1b73-4b75-87e1-ad5699b3a529,t2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1422,Hourly
f22ce487-f325-4515-8119-7cf61c40c849,t2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2022,Hourly
20be4622-d168-47c0-98d0-90587eb2d135,t2.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1912,Hourly
47f772e0-48d5-4614-b9ca-520b44c1d7a6,t2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1836,Hourly
5ca21bde-127a-4824-abc8-53e1d0d4cc82,t2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.6236,Hourly
5dbc3cf7-4bcf-4b57-9050-4220170b114a,t2.xlarge,Linux/UNIX,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1236,Hourly
e5ec605d-81ab-4d35-9992-71c86bd82859,t2.xlarge,SUSE Linux,default,standard,No Upfront,ap-south-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1566,Hourly
48dbd538-a55c-4c73-8be4-94ca5c40951e,t2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,516.0,0.0,USD,0.0589,Hourly
b48b6de5-e89e-4d32-a10f-5642155b6b66,t2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-south-1a,31536000,Availability Zone,0,516.0,0.0,USD,0.1189,Hourly
