ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2661d631-0c54-4409-92c6-a5b82ecee966,x1.16xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,11.077,Hourly
371da800-abd3-4aa2-a07d-a561d14ae5d1,x1.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.737,Hourly
3a52f866-8a22-4c3b-a666-66d72b5abf7e,x1.16xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.818,Hourly
5f1713c4-ef77-450e-95c4-208bb5cf9b31,x1.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.867,Hourly
653ffeb7-c515-4372-8057-0db13f3ff64b,x1.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,27.737,Hourly
9c3b233f-da0b-44ff-885e-5e1bf7c19ad5,x1.16xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,11.417,Hourly
9f6e4c3e-4d67-478d-92f6-ca1fa31729bd,x1.16xlarge,Linux/UNIX,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.397,Hourly
9fc316e1-048e-4eb9-bdaa-73d27597051b,x1.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.77,Hourly
be717b16-a535-4686-82cd-7f2e011ab034,x1.16xlarge,SUSE Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.43,Hourly
efe083bc-13d8-4b6a-afa5-f479a11f367b,x1.16xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.478,Hourly
f83b8629-65f3-4c83-ae55-595dcf04bffd,x1.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,27.397,Hourly
fab36645-5601-4348-978b-101215a26bc1,x1.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.527,Hourly
19647e1f-b26a-47ee-8b4e-5679047f939e,x1.16xlarge,SUSE Linux,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.987,Hourly
42232f3f-3e46-4547-8f8a-ce750afb57b1,x1.16xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.379,Hourly
4759696f-5d8c-45b2-9a13-57ce07d5b5be,x1.16xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.035,Hourly
7248400a-4924-49e9-bd8d-c21bf604083f,x1.16xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,10.929,Hourly
7c6c5510-f390-44cf-9740-a40e4763eca6,x1.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.249,Hourly
8d4aea37-ba3a-4a92-9f31-66feabbc4415,x1.16xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,26.954,Hourly
8fc0edfb-a8f9-4906-98ac-34a75d007778,x1.16xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.331,Hourly
9c47f31b-11d0-49ab-88dc-7d1b49b05cf6,x1.16xlarge,Linux/UNIX,default,standard,No Upfront,ap-south-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.954,Hourly
