ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0da80712-f9d1-4817-9b38-10cf90ea93ba,m1.medium,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,423.0,0.0,USD,0.028,Hourly
67c0a775-c770-4c5f-aafc-c1b1d7abf6b2,m1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,423.0,0.0,USD,0.088,Hourly
7a375a4c-f49f-4443-b698-603614adf4f4,m1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,465.0,0.0,USD,0.097,Hourly
835b7052-4f45-4093-9ac5-eaa487dc93fa,m1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,465.0,0.0,USD,0.031,Hourly
40287a6a-bc4d-455c-b54c-e9596f6e18fc,m1.medium,SUSE Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,775.0,0.0,USD,0.039,Hourly
59e66952-d8aa-46ba-8e5c-a893922cee24,m1.medium,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,853.0,0.0,USD,0.043,Hourly
88378acb-7451-4a06-ad94-cd4065e4b1e0,m1.medium,Linux/UNIX,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,1089.0,0.0,USD,0.0,Hourly
0963ff94-0bda-4347-b93f-78acda3e5409,m1.medium,Linux/UNIX,dedicated,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,1197.0,0.0,USD,0.0,Hourly
b18aafd4-1afd-40f3-aede-62dc8f432192,m1.medium,SUSE Linux,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,1691.0,0.0,USD,0.0,Hourly
c18751af-824e-498f-bfe5-bfab8fd31184,m1.medium,SUSE Linux,dedicated,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,1860.0,0.0,USD,0.0,Hourly
966f9c48-fc44-412a-aa32-d988eb6c9629,m1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,2571.0,0.0,USD,0.0,Hourly
d61da7a7-480a-45b1-99ac-c922fb7377fd,m1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,2828.0,0.0,USD,0.0,Hourly
3e248ad9-9ea9-4efb-a8bf-9dd21f684012,m1.medium,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.138,Hourly
6fa9401c-b61c-4a5f-9428-6dfac28b2343,m1.medium,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.151,Hourly
74a16fdb-92a0-441b-a84b-4f05bc0e28c0,m1.medium,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.125,Hourly
