ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
10f79a78-ab2e-496a-a553-564c21de50b7,p2.8xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.463,Hourly
267f1064-43af-4105-a5f3-f34c451b58eb,p2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,9.403,Hourly
2b1a8c86-a156-44c8-9cf1-a36978f1ff5f,p2.8xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.56,Hourly
53998a66-8485-4a91-b75b-e9bbd36b4f29,p2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,21.273,Hourly
774d10b8-e89a-4657-9a53-c5277346b9ac,p2.8xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,9.273,Hourly
7dd8ec84-0367-4fce-bc6e-a2e868433fd2,p2.8xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.43,Hourly
b14e98b7-482e-426c-93d1-4cba7266c82e,p2.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,20.43,Hourly
bf309f90-d2df-42c3-a934-72c12316d5de,p2.8xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,9.306,Hourly
0c2225ad-cd8c-467b-8353-c2918bc8b0da,p2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.193,Hourly
306c64ef-b88b-4b98-a0a7-4fb29e10a341,p2.8xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,7.33,Hourly
5578be25-bc0d-4c0b-a54d-829eb3d19cf4,p2.8xlarge,SUSE Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,7.363,Hourly
59230670-4ba9-4a87-8f95-d509fd073bad,p2.8xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.063,Hourly
89ec4081-c406-4777-ade8-57285f56df34,p2.8xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.096,Hourly
b1d1f47f-efc8-418f-8a02-29b024edd247,p2.8xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,7.46,Hourly
d51c311d-c17a-4ea4-bc03-2d9f218a61be,p2.8xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,19.33,Hourly
3128ae01-a976-4b36-839b-73e766c2cc84,p2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,89184.0,0.0,USD,3.394,Hourly
ec26bf27-2b27-4e23-89fc-d9404d4835d1,p2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,89184.0,0.0,USD,3.524,Hourly
a8cb2693-562f-4bff-b590-8d17c5c950dc,p2.8xlarge,SUSE Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,89536.0,0.0,USD,3.407,Hourly
4d2d17f5-a3d8-459a-9d7b-82c0cd5fe244,p2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,98102.0,0.0,USD,3.733,Hourly
8d2a06d2-cff9-4aae-85fd-a0002b0d5431,p2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,98102.0,0.0,USD,3.863,Hourly
8be65f9d-fa05-4913-be5b-d6e8046cdf73,p2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,98454.0,0.0,USD,3.746,Hourly
e33d4b15-0b96-455f-adac-dcb651123f92,p2.8xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,102561.0,0.0,USD,4.033,Hourly
fc02b637-676a-4698-ae23-9004a037c7fe,p2.8xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,102561.0,0.0,USD,3.903,Hourly
ff6c00fb-3dc6-4348-81f4-554adc7df253,p2.8xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,102913.0,0.0,USD,3.916,Hourly
249e5bff-e985-4b91-b141-cb20b91ae8ee,p2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,112818.0,0.0,USD,4.423,Hourly
7ef5986e-8437-49f4-8f61-27118c65232b,p2.8xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,112818.0,0.0,USD,4.293,Hourly
