ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1c405ea4-1c22-41bc-aae8-eb31f1c27ae1,p2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.192,Hourly
2108c578-7ce8-44d5-bb29-512a65d29c87,p2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.159,Hourly
42e9146b-adba-40dc-9e3e-78e6a2302dfb,p2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.087,Hourly
5e4a0bbe-4681-41de-8887-d1121acb4c77,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.219,Hourly
84fe6838-9e94-4d13-a510-817ab17454f1,p2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.114,Hourly
a49ef95b-8a0f-468a-a810-57be18d6a6ae,p2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.054,Hourly
733ff02d-c9a9-4505-89a5-05f4d5a4b65e,p2.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.008,Hourly
7c57548c-de92-4822-8c10-eecb36d869b2,p2.xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.041,Hourly
c85d7ca0-4f7a-47d4-ad75-bf56a73f5bff,p2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.976,Hourly
cd4decf2-10f2-489b-be99-01d1a194240b,p2.xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.916,Hourly
d3c8d3e9-a608-4380-81cb-e134e99f26ad,p2.xlarge,SUSE Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.949,Hourly
e899ccbf-1e6c-4b58-8d20-98837a10788a,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.068,Hourly
1f73e9a4-4363-4cce-b407-a2b3c20c5e5f,p2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,11148.0,0.0,USD,0.484,Hourly
4c797394-a62c-40b5-98c0-c04dc3ffc9d3,p2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,11148.0,0.0,USD,0.424,Hourly
218876d8-8079-4d89-9159-a390d82e19be,p2.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,11500.0,0.0,USD,0.437,Hourly
60759ab9-c52f-4378-82c5-4e803442c99c,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,12263.0,0.0,USD,0.527,Hourly
940019fb-815f-491b-ab2a-f8812a03bc78,p2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,12263.0,0.0,USD,0.467,Hourly
7e184c74-52da-404d-a66d-0bf1b5089598,p2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,12615.0,0.0,USD,0.48,Hourly
ada75151-21a3-4e28-8654-1fc149c93a72,p2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,12820.0,0.0,USD,0.488,Hourly
