ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
3c8c0c40-401d-4ff2-b14b-b6dcf0d41f9e,r4.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.448,Hourly
3e7628de-fe85-42c6-8118-a249d2e57334,r4.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.318,Hourly
48cc21f3-c2a0-4643-95d5-f34b20c75be6,r4.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.4532,Hourly
5a10c219-aaf4-45f2-add2-d5b3dffc1165,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.3497,Hourly
6322b4cf-2d19-47eb-a1bc-7b9c8dbbd96e,r4.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.278,Hourly
63a07d07-8bb4-4041-a15e-8e8330ee6876,r4.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.3097,Hourly
85897fb5-f79f-44de-82fe-21bca4f20be4,r4.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.4849,Hourly
91320ef0-aee7-4417-82a4-f62a8e487eb8,r4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.4797,Hourly
bb57aa21-c455-4b29-b080-05c59feb2dbb,r4.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3827,Hourly
ca8137ad-5c83-477e-bdc9-8e935e20f795,r4.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3497,Hourly
eb4ab7d0-f979-479c-a97d-0eb4da874d2f,r4.2xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.318,Hourly
ec698de2-b04d-4724-8536-ecce64b4d7bb,r4.2xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.351,Hourly
