ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
26d27905-12c0-44f4-b4c8-3431be22caf1,r4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1474,Hourly
287c8101-faa0-4d8d-8615-1d066c90ca45,r4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1395,Hourly
38e4df3d-02b5-436b-a91c-481e721c2874,r4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5674,Hourly
436eba58-6ed9-4934-bc03-611eabc37097,r4.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1471,Hourly
47e30b48-5246-41bd-b666-aaacb5bbf72d,r4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.155,Hourly
53de669b-8673-4b0c-a0b7-fb54f2d75ab1,r4.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0874,Hourly
5ae2b09a-92fb-4ea0-81b8-6a98eb46199f,r4.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5595,Hourly
6b51e742-ff1d-4dfe-b2f6-7bd050b053cb,r4.large,Linux/UNIX,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0795,Hourly
71cbf7b5-21aa-42a9-8d08-703f852cd849,r4.large,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1204,Hourly
94163ae3-140f-4a76-8e08-f0b78160aa6d,r4.large,SUSE Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1125,Hourly
06d64251-3eba-4f3d-bfd1-dba3e996fc7f,r4.large,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1367,Hourly
0cb58cda-dfc3-44ed-8eae-db8ea054c99e,r4.large,Linux/UNIX,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0691,Hourly
0e66b18a-9a33-4fbc-8d1a-254daf773048,r4.large,SUSE Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1021,Hourly
228d1836-b6a8-4eb8-933b-9824ddf22f19,r4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1436,Hourly
