ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
382e2cbb-e78e-4ce0-939f-cfe9e77ce3db,t2.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1169,Hourly
40a892fb-932a-4494-b2e4-3f16397384f9,t2.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1245,Hourly
40c47954-5281-4297-9c1d-66186286cbfe,t2.large,SUSE Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0899,Hourly
9a0c9769-cd34-4a0f-b78b-bd16bcfd0e87,t2.large,Linux/UNIX,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0569,Hourly
490f06d3-67a4-4bcc-a208-febdf678ae7c,t2.large,Linux/UNIX,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0494,Hourly
518a90a4-b4e4-4504-868a-22fbdc5408ee,t2.large,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.117,Hourly
7b085814-41b8-49e3-8096-242f089fccff,t2.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1094,Hourly
a7aa0cf3-2424-42cb-8fc1-eb4fd7a42c77,t2.large,SUSE Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0824,Hourly
5591e906-7f18-49d5-aab8-51d4dff1ba42,t2.large,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,602.0,0.0,USD,0.0229,Hourly
5a26379c-ddae-4627-b60f-615de3c9af93,t2.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,602.0,0.0,USD,0.0829,Hourly
48875ebc-c095-41a5-b2a9-9cd3fbd48f35,t2.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,692.0,0.0,USD,0.0864,Hourly
d2d1a761-2c33-471b-a386-f47fc1708cac,t2.large,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,692.0,0.0,USD,0.0264,Hourly
b1b4ae93-1293-4efa-bde0-15c8be5dff42,t2.large,SUSE Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,954.0,0.0,USD,0.0359,Hourly
4791f03b-6cc7-415d-9e36-454f8a6ab15c,t2.large,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,1044.0,0.0,USD,0.0394,Hourly
2ab00a97-3fde-4b5a-b121-c7b581bb3cdf,t2.large,Linux/UNIX,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,1131.0,0.0,USD,0.0,Hourly
a89da654-aaef-4fff-acdc-cec6cb54beaa,t2.large,Linux/UNIX,default,convertible,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,1357.0,0.0,USD,0.0,Hourly
c29cddeb-f7b5-41a4-8d29-5f9560b932ce,t2.large,Linux with SQL Server Web,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,1490.0,0.0,USD,0.0567,Hourly
