ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
6898ef63-bde3-428e-aee5-4908666cbeda,t2.medium,SUSE Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0615,Hourly
adda5af7-fc9c-42dd-aa88-46fb467e67dc,t2.medium,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0885,Hourly
c68192d1-dba7-429e-bb2b-cb71ffbb2e3a,t2.medium,Linux/UNIX,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0285,Hourly
f33f17ab-e3aa-4b78-9599-5b388f76168e,t2.medium,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0961,Hourly
0abe15c2-9877-4b57-a9ab-54d462b4d2c9,t2.medium,Linux/UNIX,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0247,Hourly
1346a64c-3f67-43dc-8a91-fc29a67eb82b,t2.medium,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0847,Hourly
e006607a-7b31-462c-8489-140228eefcdf,t2.medium,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0923,Hourly
ec82227b-2e18-4581-930c-a48517f310a0,t2.medium,SUSE Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0577,Hourly
892b49b4-a7eb-4b23-8d08-5cd90828b6b7,t2.medium,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,301.0,0.0,USD,0.0114,Hourly
a2817213-65c0-4be5-8676-82aae5c6e5fa,t2.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,301.0,0.0,USD,0.0714,Hourly
3f59809e-dbc9-4a43-bf8c-2439a00a3154,t2.medium,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,346.0,0.0,USD,0.0132,Hourly
e07f15a0-166c-4004-ac24-a66a0b191461,t2.medium,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,346.0,0.0,USD,0.0732,Hourly
2421bbeb-448c-4fc0-948d-b86ac4164c6f,t2.medium,Linux/UNIX,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,566.0,0.0,USD,0.0,Hourly
0d1c3288-fc4f-4d00-b4f5-f777a2b2e3bd,t2.medium,SUSE Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,653.0,0.0,USD,0.0244,Hourly
7994f5a9-ae8e-45a5-b7bd-ba4f921dddaf,t2.medium,Linux/UNIX,default,convertible,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,679.0,0.0,USD,0.0,Hourly
514dbb47-b6a7-4302-a963-45ab8676ea5f,t2.medium,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,698.0,0.0,USD,0.0262,Hourly
27c16661-8b78-4e6a-bf82-5359879f7b75,t2.medium,Linux with SQL Server Web,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,1189.0,0.0,USD,0.0452,Hourly
53e527c7-2556-4c6b-89a3-65787c1769fc,t2.medium,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,1235.0,0.0,USD,0.047,Hourly
df218b7e-e003-47de-8315-7dfb174d4aea,t2.medium,SUSE Linux,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,1260.0,0.0,USD,0.0,Hourly
f0fa7b4a-a05d-4be5-96fa-972e9b746755,t2.medium,SUSE Linux,default,convertible,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,1373.0,0.0,USD,0.0,Hourly
3a986f41-6720-46c8-a523-07dd92b2a109,t2.medium,Red Hat Enterprise Linux,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,2142.0,0.0,USD,0.0,Hourly
6e69004e-be76-4044-925c-d8369ce5d3b3,t2.medium,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,2255.0,0.0,USD,0.0,Hourly
b0c4eff9-2f60-4aca-bd26-a281a23e42b8,t2.medium,Linux with SQL Server Web,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,2342.0,0.0,USD,0.0,Hourly
