ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2074d3e3-e686-4bab-b798-5c59d952303e,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0742,Hourly
48aad4fa-975e-45e6-8608-6c8f285178cc,t2.small,Linux/UNIX,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0142,Hourly
5f262d16-e92a-4bcc-bf48-a445f81624d4,t2.small,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0818,Hourly
8aff3f48-95a3-4476-9073-726f2fa73881,t2.small,SUSE Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.033,Hourly
0226dfdd-4cbe-4771-8b10-89f441b07ae0,t2.small,Linux/UNIX,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0124,Hourly
ab627d11-cc6c-457e-ba82-566ec30d90c2,t2.small,SUSE Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0354,Hourly
e4ffafc1-ad7f-4de0-995c-e485573c1bbf,t2.small,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.08,Hourly
e936ad7a-53b5-4b75-bc39-481fe9ad4231,t2.small,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0724,Hourly
2c03a42a-9035-45a0-bc82-d21957d314fc,t2.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,150.0,0.0,USD,0.0657,Hourly
c2a3d167-7164-4fb8-8f97-d3371820ed96,t2.small,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,150.0,0.0,USD,0.0057,Hourly
5fa5d443-a843-4ed2-84a6-02837ebcd722,t2.small,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,173.0,0.0,USD,0.0066,Hourly
e3ceb31f-65e9-42c1-86de-22d4a75cbe6c,t2.small,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,173.0,0.0,USD,0.0666,Hourly
1657e5ed-5750-47c2-a73e-fb6d9f7bc906,t2.small,Linux/UNIX,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,283.0,0.0,USD,0.0,Hourly
5c48f9d7-e37c-4085-9393-7b2360064924,t2.small,SUSE Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,326.0,0.0,USD,0.0187,Hourly
26f129e7-eb48-4776-93d0-0ae8ce5b9cd4,t2.small,Linux/UNIX,default,convertible,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,339.0,0.0,USD,0.0,Hourly
1580ed00-b435-4d6e-84da-59d9dab76ec3,t2.small,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,349.0,0.0,USD,0.0196,Hourly
cc0fa72f-2274-4114-a687-abcd045c6554,t2.small,SUSE Linux,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,801.0,0.0,USD,0.0,Hourly
