ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
045fff47-eda5-4ddd-b371-8e132e96ab30,z1d.12xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.772,Hourly
0dee5124-3725-4ec3-8c33-420c066eebb0,z1d.12xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.772,Hourly
1e249bfa-0791-4a32-990d-428842456baa,z1d.12xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.902,Hourly
2e8b6687-cd4f-48aa-9a04-2c7543429088,z1d.12xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.583,Hourly
33dc7317-6563-4c7f-81d9-dee23e1100ec,z1d.12xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,20.772,Hourly
5cb75991-5bff-4f11-b50f-e6c2eac263a2,z1d.12xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.583,Hourly
7c5710f2-0542-4803-bcb4-c8b9c744f228,z1d.12xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.826,Hourly
9189ef4d-8bf7-4afb-8636-e3eb674397e9,z1d.12xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,20.772,Hourly
a50b88e2-0aaa-46b5-a618-79d39ee99161,z1d.12xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.826,Hourly
a5309b1e-cc6a-454a-b330-4b275d25bf8d,z1d.12xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.532,Hourly
a5b659b7-8bcd-434b-8c3a-13b827f23ef6,z1d.12xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.902,Hourly
ac99ad52-ef85-429f-af08-b089c17a12ec,z1d.12xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.532,Hourly
10bc63d0-6579-4ca7-91a8-5d5ba7844ba2,z1d.12xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.222,Hourly
2721da14-4460-447e-97da-1f4464c52c2b,z1d.12xlarge,SUSE Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.465,Hourly
2cd33905-242d-45c6-b493-ebe58be77e82,z1d.12xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.411,Hourly
49d0852b-b11d-41d9-aea1-cef25974ad53,z1d.12xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.541,Hourly
61edf257-13b8-47dc-a0b8-51e70ed3c43f,z1d.12xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.465,Hourly
65bafc02-8017-4203-9bf8-db8d696986c0,z1d.12xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.541,Hourly
6753a317-aa32-4597-8e23-0ad3126d41c5,z1d.12xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.222,Hourly
78360a1c-8788-460d-a55b-480d9b08c493,z1d.12xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,20.411,Hourly
a7e01471-51b4-4a25-b48f-1c609bf38765,z1d.12xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.411,Hourly
b453d527-d702-466a-b051-40aa28d56c28,z1d.12xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.171,Hourly
b5d21cc7-4e30-4857-ae80-d65e4e763f70,z1d.12xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,20.411,Hourly
e07980d3-6a4f-4c45-a689-64f203736d77,z1d.12xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.171,Hourly
365f961c-9d0a-4d6a-a2ca-b21b14b53700,z1d.12xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,29328.0,0.0,USD,1.246,Hourly
7a896895-322f-409d-8746-22f1dd34abda,z1d.12xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,29328.0,0.0,USD,1.116,Hourly
9cda16f1-4eb5-42be-b46f-5ffb235012e3,z1d.12xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,29328.0,0.0,USD,1.116,Hourly
bf2d7bc6-fd5d-4bde-a3b3-0d10347dca83,z1d.12xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,29328.0,0.0,USD,1.246,Hourly
314aea74-1dc5-41e4-b4c0-280b4504e78b,z1d.12xlarge,SUSE Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,30038.0,0.0,USD,1.143,Hourly
d204e6ff-2de5-4505-8004-460f5fd4af5c,z1d.12xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,30038.0,0.0,USD,1.143,Hourly
1c2dbd4b-6395-4f4f-95e8-3a504571b22f,z1d.12xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,33728.0,0.0,USD,1.413,Hourly
57731264-5ae9-45a8-a41c-e49031fb1e47,z1d.12xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,33728.0,0.0,USD,1.413,Hourly
6e5411bb-5889-4df7-9700-688d7fa47ddc,z1d.12xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,33728.0,0.0,USD,1.283,Hourly
9d85d96d-d6a8-48a8-a8c6-e4f2e2325654,z1d.12xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,33728.0,0.0,USD,1.283,Hourly
160f5a44-763f-44e7-a7f5-b7c473b0ae03,z1d.12xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,34437.0,0.0,USD,1.31,Hourly
f11ee8de-31bb-4c36-95be-f6912c606143,z1d.12xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,34437.0,0.0,USD,1.31,Hourly
8cfe6ee5-bbfd-488a-a47c-7a01b87797d3,z1d.12xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,39987.0,0.0,USD,1.522,Hourly
cb7669ad-6563-44c9-a62f-5abc5ebbfdaa,z1d.12xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,39987.0,0.0,USD,1.522,Hourly
10a1742d-c81e-4ae1-90ec-ca8c51ecb56b,z1d.12xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,44387.0,0.0,USD,1.689,Hourly
ecb75927-512e-45b5-b2be-46e78c2e969e,z1d.12xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,44387.0,0.0,USD,1.689,Hourly
16f8b4d7-530a-49ca-8a0a-d0fe193fbdc4,z1d.12xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,55137.0,0.0,USD,0.0,Hourly
55bfe72a-01bc-43f1-bf59-a0e6fa75a0fb,z1d.12xlarge,Linux/UNIX,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,55137.0,0.0,USD,0.0,Hourly
5a4b0003-b2e8-4fca-8da5-8ca514a785bb,z1d.12xlarge,SUSE Linux,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,56556.0,0.0,USD,0.0,Hourly
76ed4840-7dd0-442c-ad46-bd1497f6da80,z1d.12xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,56556.0,0.0,USD,0.0,Hourly
4fdae120-79aa-4be9-9595-86a47bedfe56,z1d.12xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,58553.0,0.0,USD,0.0,Hourly
5e3049a7-c63c-4340-81eb-53e4346be143,z1d.12xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,58553.0,0.0,USD,0.0,Hourly
0866710a-f1c3-42a6-9558-52cc5f362ec2,z1d.12xlarge,Linux/UNIX,default,convertible,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,66106.0,0.0,USD,0.0,Hourly
da7d3c4a-e63b-47e5-be0f-87243be6ed89,z1d.12xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,66106.0,0.0,USD,0.0,Hourly
7040f865-cf45-4f2b-a647-e2525a7b6b35,z1d.12xlarge,SUSE Linux,default,convertible,All Upfront,ap-southeast-1a,94608000,Availability Zone,0,67525.0,0.0,USD,0.0,Hourly
