ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
088e9f56-453a-4dc2-a04a-04a1ed9eee1d,z1d.large,SUSE Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.138,Hourly
0b7498e3-600e-420d-b5dd-5105f05c3e33,z1d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.609,Hourly
3554bbec-dc1b-4620-8504-1de9f5bcc5a8,z1d.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.183,Hourly
3be37951-4936-4b4e-aba9-3f5ae733c1f2,z1d.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.596,Hourly
467f1cba-8d0c-4f9d-a359-39c02e515c96,z1d.large,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.151,Hourly
4cd1f300-f988-4f63-9651-f7c3ce16287c,z1d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.189,Hourly
9febd714-b561-415d-bd3d-7c5581255b7d,z1d.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.129,Hourly
bd55f72c-9dea-4a7b-ab96-d079dbb296f8,z1d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.197,Hourly
ce150842-f5ed-41e7-99b2-14e2f9224045,z1d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.176,Hourly
d11dcb63-9ef3-4272-8ca4-dcb4ce360e80,z1d.large,Linux/UNIX,default,convertible,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.116,Hourly
29439f50-557c-4867-b30a-8f686b25784f,z1d.large,SUSE Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.122,Hourly
3f2b1986-aac7-4ced-a5e1-475dda4f3737,z1d.large,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.136,Hourly
42ba6a83-2f4b-4a26-adf2-48b8e47b6bf4,z1d.large,Linux/UNIX,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1,Hourly
63f57faf-92f4-4dfe-92fa-e43546425f72,z1d.large,Linux with SQL Server Standard,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.58,Hourly
6ba22a8c-4feb-491f-8cae-142caaa3852e,z1d.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.594,Hourly
72917828-527c-4705-8907-6ca8d4e49c04,z1d.large,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.114,Hourly
78150f91-2ea9-4bb3-9656-ec4d638b9373,z1d.large,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.168,Hourly
b970ac79-7aae-4ca5-85e3-68de374d9af9,z1d.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.182,Hourly
c2721fc0-555c-412d-804a-75e76c7605e5,z1d.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.174,Hourly
c9d16f8d-54ce-4db9-b191-0f5a60ad1d8b,z1d.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.16,Hourly
0d922d4b-7939-4e43-9bf6-a92b0f31c33c,z1d.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,1222.0,0.0,USD,0.106,Hourly
cc68b3b5-a4f7-4d62-8fc9-bcf3e4bb9666,z1d.large,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,1222.0,0.0,USD,0.046,Hourly
2c0f420e-6c91-4374-8672-39fb76620755,z1d.large,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-1a,94608000,Availability Zone,0,1401.0,0.0,USD,0.053,Hourly
