ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
9b301a8b-f779-48fa-b2d3-140ed499b7e2,c1.medium,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,669.0,0.0,USD,0.049,Hourly
cb412dd8-ad21-4950-a2c7-954ac9a1a0d5,c1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,669.0,0.0,USD,0.109,Hourly
c0ba7427-eec7-4457-830d-1d0fd1cc3c09,c1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,736.0,0.0,USD,0.12,Hourly
cc29e714-7025-48c2-993a-da43bc768489,c1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,736.0,0.0,USD,0.054,Hourly
d5b13695-2f24-4eee-be62-e99ccb5efd5a,c1.medium,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,1021.0,0.0,USD,0.06,Hourly
7c03cf02-7501-4d2a-a8e9-6c69b7c0a9aa,c1.medium,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,1123.0,0.0,USD,0.066,Hourly
b48c423f-b7d7-477a-a8d4-79a67b86bc49,c1.medium,Linux/UNIX,default,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,1839.0,0.0,USD,0.0,Hourly
3230933d-c701-407f-9af5-0f51e6d161ed,c1.medium,Linux/UNIX,dedicated,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,2022.0,0.0,USD,0.0,Hourly
d7e7731d-4a79-4703-88ac-32344332123a,c1.medium,SUSE Linux,default,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,2441.0,0.0,USD,0.0,Hourly
99e4f590-4d6c-4614-be77-4c522e548732,c1.medium,SUSE Linux,dedicated,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,2685.0,0.0,USD,0.0,Hourly
59db44d7-7eca-4f7e-bcd0-7f0368b0c6cb,c1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,3321.0,0.0,USD,0.0,Hourly
96b28155-baf8-466c-9b37-d0bf6a0f56b8,c1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,3653.0,0.0,USD,0.0,Hourly
11b0ab04-00ae-41eb-8f3b-1ca7791973db,c1.medium,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.173,Hourly
