ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
196fa5aa-649e-4bfe-84c9-d8655700180f,c4.4xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,6.634,Hourly
2013d4fd-7faa-4d1a-913c-0858393a4258,c4.4xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.634,Hourly
382b256e-ff9a-4a0e-8c3e-9c925e756a8c,c4.4xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,2.554,Hourly
4347f200-998e-4d59-b903-41f5951eaf6b,c4.4xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.576,Hourly
50dbd0cd-0a52-44f3-b4ab-75ccd27e3488,c4.4xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.609,Hourly
6c13983e-8913-4693-83a4-fe06fc75803b,c4.4xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,6.576,Hourly
6d8faa5c-0fc9-4c4f-bb61-83504a628333,c4.4xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.706,Hourly
754be63f-4469-4dd3-8c76-feea194f4b71,c4.4xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.904,Hourly
7cd580be-dd2b-4309-97d9-71fb050766c4,c4.4xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,2.496,Hourly
ccbc38d3-8dc0-4f75-8eac-8fbdfee28608,c4.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.764,Hourly
d78ac9a5-c69f-45cb-922f-e48deced1753,c4.4xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.847,Hourly
ecdb886e-f976-4958-8415-94c9571eff5f,c4.4xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.667,Hourly
02ff8e5b-cc83-4a75-858b-393b4ac19742,c4.4xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,6.501,Hourly
27d47170-b975-49b6-85e3-c11f96dc62bf,c4.4xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.551,Hourly
402c10a1-bb36-4133-a766-3c45cb877445,c4.4xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.822,Hourly
4bf4cbb1-beca-4958-aaa2-390b37e5fbdd,c4.4xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.501,Hourly
798447fe-6a0e-47df-a8a9-f913a7327576,c4.4xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.584,Hourly
851c97a5-8fac-48fc-b485-5a6a747ee83e,c4.4xlarge,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.534,Hourly
94b5fae2-7296-4fe3-b66c-5b2138c2fdd6,c4.4xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,2.421,Hourly
abc2e403-6775-4983-8960-21bd8a92e1ff,c4.4xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.631,Hourly
d906e673-a22c-4b00-966f-c55f3513211d,c4.4xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.681,Hourly
e2cf8542-85f9-470c-ac39-097ebd5a19de,c4.4xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,6.551,Hourly
f32bb6e2-af4c-4afd-9dc8-a7b3d067f01b,c4.4xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.772,Hourly
ffda0626-4257-46f2-9803-de1717baa3f3,c4.4xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,2.471,Hourly
23f897f4-fcb8-4297-b658-084c32ee60b8,c4.4xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,6123.0,0.0,USD,0.363,Hourly
6a1905d4-7812-4264-ae2d-a4c9ee15b78a,c4.4xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,6123.0,0.0,USD,0.233,Hourly
c036f276-c9af-46cd-aedb-fd29785e46b6,c4.4xlarge,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,6475.0,0.0,USD,0.246,Hourly
5d66880b-8458-405f-a374-c846827ac400,c4.4xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,6734.0,0.0,USD,0.386,Hourly
92573a1f-3d9c-4d9b-b7d2-f9833d3b456c,c4.4xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,6734.0,0.0,USD,0.256,Hourly
81009ba7-7769-4d58-a62b-e9f3c4df12e7,c4.4xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,7012.0,0.0,USD,0.397,Hourly
83370e09-da59-4fb5-b206-752d8634eb74,c4.4xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,7012.0,0.0,USD,0.267,Hourly
dd96b8df-3d07-4a43-a50a-26e18aafb299,c4.4xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,7086.0,0.0,USD,0.269,Hourly
2b3a9a4f-c561-4dc1-8b8a-7078b43ae821,c4.4xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,7364.0,0.0,USD,0.28,Hourly
08303b0d-3ce2-41bf-9e57-7e047568071a,c4.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,7713.0,0.0,USD,0.423,Hourly
70a9fa70-df35-4a5f-8549-c79daea5f33d,c4.4xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,7713.0,0.0,USD,0.293,Hourly
4ac0852c-a541-42ff-b35a-5313482570d0,c4.4xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,8065.0,0.0,USD,0.306,Hourly
d8a83aac-2351-4e37-9e92-010e5f4cb672,c4.4xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,9650.0,0.0,USD,0.367,Hourly
e5f2a2d8-ed2d-4779-a8cc-5dbfcaa58252,c4.4xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,10260.0,0.0,USD,0.39,Hourly
