ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1216b7dd-068e-49c0-9ba2-ff8eb80c7a3f,c4.xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.177,Hourly
395c181e-eeb7-441f-b4a2-541767d7b371,c4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.212,Hourly
400b5475-d5b4-4fb8-9d11-85a2c4817ea2,c4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.158,Hourly
435b5091-8319-4c51-9dc1-49826b11bc54,c4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.191,Hourly
70062a69-3cfa-4a42-8b3f-6842866b82d4,c4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.204,Hourly
887881d1-45ba-40ca-8e1a-df089b8db93e,c4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.218,Hourly
8ffce7d2-01f7-4a2a-a505-cbd814066343,c4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.624,Hourly
926dbf54-cfc1-4b47-a291-30e5c15336ce,c4.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.144,Hourly
b101b0d2-e097-443c-9f29-6a260f768f9e,c4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.226,Hourly
b62cc29f-4b0f-4b38-88bd-915ac862147a,c4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.658,Hourly
fc8e6d42-be2c-4805-ae3b-556c754414e8,c4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.644,Hourly
fcee950e-a10f-42ae-b430-e62aadf49b04,c4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.638,Hourly
096cfe94-d79c-4e6e-bbcd-f2a04b32e7d7,c4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.198,Hourly
0b8b4ddb-82a6-4a1c-bbb1-2619f55c87bb,c4.xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.125,Hourly
1588ea5f-7535-4886-ac39-9db59276c92d,c4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.193,Hourly
1808d25d-0964-44ba-8420-930ed8eecb89,c4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.638,Hourly
