ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1f1fee2b-cd40-429e-8313-fa9d93f97d7a,c5.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.537,Hourly
2615c2d6-7f5a-4abd-851c-2f85e4f35545,c5.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.544,Hourly
2630fa8d-d79b-4d74-bc30-97b115de9d22,c5.large,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.057,Hourly
603731ac-8c02-4691-a15e-6b1f0b269b17,c5.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.117,Hourly
6e278220-4657-47ef-b68f-a7a470883f2f,c5.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.064,Hourly
8669c639-0bfe-450d-a5e5-35e1eee3ffa2,c5.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.125,Hourly
9f28e0ce-2dc9-4147-9833-7e4da8211f7d,c5.large,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.097,Hourly
ba5fdaf5-c703-4379-b71d-20f79f7924b3,c5.large,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.09,Hourly
bafb664d-55f3-4ef5-9b5c-2a3b852eb869,c5.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.124,Hourly
f14e8992-d2d1-4ac1-b7c2-bf1dacbdf437,c5.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.131,Hourly
1b94365a-fad8-422b-9e65-d808f7218cfd,c5.large,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.056,Hourly
21f23239-6de8-46bc-80f8-ae5f0061d24e,c5.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.536,Hourly
7243d27a-360f-4dd6-a9b4-36f12b122d45,c5.large,Linux with SQL Server Standard,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.53,Hourly
82e495e4-72a9-4be6-8031-0918e672f4b5,c5.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.11,Hourly
8c0ea0a7-5bbc-44c8-b9f1-dd401749bfe0,c5.large,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.089,Hourly
95047dec-3188-4fc3-8c54-5bfcfd1d941a,c5.large,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.083,Hourly
be8364b1-8cfc-4582-822f-c9f1122e0006,c5.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.116,Hourly
c46e38db-6c7a-4ee5-9bf2-cbb273e8bde0,c5.large,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.117,Hourly
ee4737a1-728b-4e49-b810-04edd45c948e,c5.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.124,Hourly
f0ac4525-70ff-4f65-b431-7ed7290166d2,c5.large,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.05,Hourly
0793ebb2-7c3c-40c2-b519-34737f0295b9,c5.large,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,604.0,0.0,USD,0.023,Hourly
51795c1d-1368-4543-bdf1-7bf5579e230b,c5.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,604.0,0.0,USD,0.083,Hourly
b9e652ca-7488-49b5-b1c3-c178dad2304c,c5.large,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,693.0,0.0,USD,0.026,Hourly
fa38bc4c-448e-429a-9316-1cd6d2a59b6c,c5.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,693.0,0.0,USD,0.086,Hourly
6b687e25-bbe3-4627-b49f-c452ca7b3fd9,c5.large,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,695.0,0.0,USD,0.026,Hourly
730deaff-9785-4b57-a237-5f94b9d66213,c5.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,695.0,0.0,USD,0.086,Hourly
315f015c-b702-4e0a-a759-d1caeda69c6d,c5.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,784.0,0.0,USD,0.09,Hourly
4202a7e8-c30d-4035-8343-6991a4f2684a,c5.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,784.0,0.0,USD,0.03,Hourly
f9b02143-318f-44f9-831e-21e5ae7c3116,c5.large,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,956.0,0.0,USD,0.036,Hourly
8f79d42a-b640-4e40-979f-a98177787c9a,c5.large,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1045.0,0.0,USD,0.039,Hourly
