ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0000eb48-5c78-4bfc-810e-05849c8f2351,d2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.824,Hourly
01ed3c53-d8a3-4ebb-884c-5367cb50c00a,d2.8xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.694,Hourly
0e6370ca-2f75-44d2-8ae4-8ac2b6973780,d2.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,16.91,Hourly
31f2b04e-6e28-45c3-850d-d76b3cf23a04,d2.8xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.731,Hourly
50e3f754-53f1-4322-b264-50841282801f,d2.8xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.824,Hourly
60dae8d2-a1d3-438d-91e4-b3c52481f37c,d2.8xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.694,Hourly
880739ed-f139-48ed-9928-0aa5c5fa2cfc,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,16.91,Hourly
eb5ceec0-8384-4aae-9945-de2b65a063e0,d2.8xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.731,Hourly
aec6e5d5-d33d-4a4a-9573-b7ae758dea79,d2.8xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,41515.0,0.0,USD,1.707,Hourly
bd9eca6c-1b1d-4bf9-9684-128bba5027af,d2.8xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,41515.0,0.0,USD,1.577,Hourly
c885b5ee-7e02-4eaf-9f80-0b55352611c2,d2.8xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,41515.0,0.0,USD,1.577,Hourly
e05c06fb-e1b8-44eb-b9b5-8fc7b40383db,d2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,41515.0,0.0,USD,1.707,Hourly
40fdd638-4316-4cd2-8353-0e542164ad4b,d2.8xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,41867.0,0.0,USD,1.59,Hourly
f4fc14b4-7570-48a9-a489-098bf39f999c,d2.8xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,41867.0,0.0,USD,1.59,Hourly
97ad8d64-90ec-410f-8e6d-1b75b4cee2fd,d2.8xlarge,Linux/UNIX,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,81302.0,0.0,USD,0.0,Hourly
d9207b67-7c21-482d-a986-734e9e6c3835,d2.8xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,81302.0,0.0,USD,0.0,Hourly
0d64c9f0-50ff-46d6-85ba-5b94cdc008bc,d2.8xlarge,SUSE Linux,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,81957.0,0.0,USD,0.0,Hourly
f1e57b3f-07ca-4be4-9ed4-577d91fbeac4,d2.8xlarge,SUSE Linux,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,81957.0,0.0,USD,0.0,Hourly
12d2d3ad-91ae-4651-b898-97eef1c08b96,d2.8xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,84641.0,0.0,USD,0.0,Hourly
7ccb9e06-0594-4523-bbc9-b3352c695958,d2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,84641.0,0.0,USD,0.0,Hourly
5a368465-0c33-4071-93f4-e0e0c659f1b4,d2.8xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,210222.0,0.0,USD,7.999,Hourly
93b4c316-c7ba-4c37-9097-fa26ca3bad14,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,210222.0,0.0,USD,7.999,Hourly
0fe66747-2097-45f0-98a3-e85d8ec87107,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,218876.0,0.0,USD,8.329,Hourly
3f24d59c-c388-4df8-b39d-353fad9bee66,d2.8xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,218876.0,0.0,USD,8.329,Hourly
10ca9f7f-bed6-429c-9920-b0c4d741e1fb,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,416504.0,0.0,USD,0.0,Hourly
ac31e689-ce54-4aa2-b068-5a22a25fb00c,d2.8xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,416504.0,0.0,USD,0.0,Hourly
6d036c2b-b9bc-403c-99df-f12ca2736dbe,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,436093.0,0.0,USD,0.0,Hourly
f9ee94e2-9090-4af1-b2f4-a4f279822eab,d2.8xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,436093.0,0.0,USD,0.0,Hourly
79787764-6575-4674-af68-703c4029f59b,d2.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,17.702,Hourly
f499cfff-a519-4675-a81a-d57937a16ecb,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,17.702,Hourly
47c66e70-a4aa-40ae-873e-d095784efbb9,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,17.154,Hourly
a8c30287-7e48-4e7e-aec0-b2b1bd8fb893,d2.8xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,17.154,Hourly
96bec2c7-129d-46ec-823d-0b266fa24fde,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,ap-southeast-2c,31536000,Availability Zone,0,74372.0,0.0,USD,8.49,Hourly
eff64308-8975-49d5-a6f6-c90b077f0db1,d2.8xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,ap-southeast-2c,31536000,Availability Zone,0,74372.0,0.0,USD,8.49,Hourly
3227fa0a-c468-4183-83dd-279bf771860c,d2.8xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,ap-southeast-2c,31536000,Availability Zone,0,76659.0,0.0,USD,8.751,Hourly
fe4584cd-1ced-468b-9ddc-f7a50d40efc4,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,ap-southeast-2c,31536000,Availability Zone,0,76659.0,0.0,USD,8.751,Hourly
8293bbf2-8270-4906-a9c6-4fcc98f0f323,d2.8xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,ap-southeast-2c,31536000,Availability Zone,0,148135.0,0.0,USD,0.0,Hourly
be099525-78da-4eaa-a078-4f0a9d3b105d,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,ap-southeast-2c,31536000,Availability Zone,0,148135.0,0.0,USD,0.0,Hourly
4d35abba-7cb7-4247-ad50-cb441a6fe19e,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,ap-southeast-2c,31536000,Availability Zone,0,152616.0,0.0,USD,0.0,Hourly
826eb82f-486d-4761-9f1d-e4ced0d892bb,d2.8xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,ap-southeast-2c,31536000,Availability Zone,0,152616.0,0.0,USD,0.0,Hourly
0e739b0c-7d61-4517-82b5-b902ce0bbdee,d2.8xlarge,Windows,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.774,Hourly
319ff58a-37b7-41ac-8ee3-8f6383437d27,d2.8xlarge,Windows,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.774,Hourly
54482d48-2d39-4cee-ac9e-fb710d4dbc74,d2.8xlarge,Windows with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,18.849,Hourly
