ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
365f57da-4276-4890-9a8f-0e46f1056271,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.969,Hourly
5ef4f885-89cd-4ace-ab90-d341c1b7e09c,d2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.499,Hourly
88699483-1f48-4117-b7f0-4dee33596122,d2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.522,Hourly
a73a3483-2827-4009-8c53-07916d0e6426,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.549,Hourly
bc44940a-fac0-41ad-b790-3f70a87f36e3,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.574,Hourly
bc46dd8f-3f72-4013-b513-e8d2b7aba2a8,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.926,Hourly
d6ddebd3-75aa-4e5f-b42b-eb8b666843f2,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.508,Hourly
e16ed1eb-adfc-4d4b-81c7-57456050c26d,d2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.462,Hourly
931020bf-4394-492e-83d7-2ce9d0b47e3a,d2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,5189.0,0.0,USD,0.257,Hourly
bb4613bb-a5e0-4d7b-8d5b-bba9507bdfe9,d2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,5189.0,0.0,USD,0.197,Hourly
f7a9b819-3609-4cf9-84ee-0e3c7d8dc624,d2.xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,5541.0,0.0,USD,0.21,Hourly
16aaa282-0964-464c-9e13-0e9171aaa80d,d2.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,5708.0,0.0,USD,0.217,Hourly
2e20f9e5-42aa-4abc-98d7-1b0adfdf05bf,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,5708.0,0.0,USD,0.283,Hourly
4107138a-bcc3-4104-99ed-323d4f128534,d2.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,6095.0,0.0,USD,0.231,Hourly
49f5b845-80c3-4ab5-950d-02bd913d0241,d2.xlarge,Linux/UNIX,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,10163.0,0.0,USD,0.0,Hourly
16c9730e-aa47-4aa6-999e-ff5ec834a529,d2.xlarge,SUSE Linux,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,10815.0,0.0,USD,0.0,Hourly
4232a411-985d-418b-85e4-d0ca1444bd51,d2.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,11178.0,0.0,USD,0.0,Hourly
1562d5b8-e4e4-4313-acf8-3cce733ece96,d2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,11708.0,0.0,USD,0.0,Hourly
f082f24d-4ad0-459f-aa28-a80749e75a3b,d2.xlarge,SUSE Linux,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,11896.0,0.0,USD,0.0,Hourly
bdb395ac-8620-481b-9bfb-a478a8e70f2c,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,12879.0,0.0,USD,0.0,Hourly
2211e54b-f195-481d-a13f-aec069002f87,d2.xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,23814.0,0.0,USD,0.906,Hourly
45dcd3e5-1d80-4742-b0cc-171fe511fbcc,d2.xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,24224.0,0.0,USD,0.922,Hourly
e9116733-7062-439a-a763-e22f89c6e676,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,24896.0,0.0,USD,0.947,Hourly
1e0b19f2-7d07-4eac-b230-963c0b9d40e0,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,25414.0,0.0,USD,0.967,Hourly
9bffe79d-4049-4791-b087-4ba217652513,d2.xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,47136.0,0.0,USD,0.0,Hourly
92241ac9-277f-4532-857d-e83b66ff72df,d2.xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,47907.0,0.0,USD,0.0,Hourly
cc16ca41-c3a5-4f77-9176-f281dffa323e,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,49584.0,0.0,USD,0.0,Hourly
691fb011-b5ad-4b87-b898-1d6cd5c4664a,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,50601.0,0.0,USD,0.0,Hourly
10c9bc77-c15c-4792-92b3-6fba6f17ff1d,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,2.078,Hourly
5713d894-4e4e-4be2-9fec-37cdc4db4e38,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.611,Hourly
6e655c48-a523-478b-9509-79628f845325,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.578,Hourly
78b67348-f436-4e84-8710-7c76d31396bf,d2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.558,Hourly
810468ec-539f-4dab-847f-61c11dbb7682,d2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.525,Hourly
